date,open,high,close,low,volume,amount,ema,rise
2014-05-05,19.27,19.37,19.19,19.02,10852951.0,208052768.0,19.19,0.0
2014-05-06,19.2,19.75,19.44,19.19,14388183.0,281403296.0,19.44,0.013027618551328815
2014-05-07,19.27,19.34,19.12,19.08,9364196.0,179609600.0,22.680000000000003,-0.01646090534979425
2014-05-08,19.07,19.44,19.15,19.05,10162370.0,195760352.0,24.58,0.0015690376569036392
2014-05-09,19.22,19.72,19.5,19.16,21121638.0,412442880.0,27.606,0.018276762402088847
2014-05-12,19.72,20.86,20.54,19.49,63046284.0,1287503744.0,29.540000000000003,0.05333333333333329
2014-05-13,20.35,20.42,19.95,19.87,30627476.0,616275648.0,29.657142857142855,-0.028724440116845173
2014-05-14,19.88,20.06,19.79,19.67,14348273.0,284523808.0,28.805,-0.00802005012531329
2014-05-15,19.67,19.81,19.47,19.44,14698809.0,288179520.0,30.18,-0.016169782718544735
2014-05-16,19.48,19.62,19.47,19.32,10249362.0,199899216.0,29.742,0.0
2014-05-19,19.49,19.71,19.58,19.27,10047705.0,193905904.0,29.717272727272725,0.005649717514124265
2014-05-20,19.72,19.79,19.41,19.36,9067508.0,175317456.0,19.226666666666667,-0.008682328907047914
2014-05-21,19.41,19.61,19.54,19.26,8700535.0,168011088.0,19.455384615384617,0.006697578567748532
2014-05-22,19.57,19.67,19.36,19.32,12448373.0,240617584.0,22.205714285714286,-0.00921187308085976
2014-05-23,19.36,19.46,19.43,19.32,7842936.0,150706832.0,23.89333333333333,0.003615702479338858
2014-05-26,19.63,19.66,19.46,19.42,11110760.0,214713440.0,26.587750000000003,0.0015440041173443715
2014-05-27,19.61,19.64,19.37,19.35,10969024.0,211302720.0,28.343529411764706,-0.004624871531346344
2014-05-28,19.37,19.56,19.51,19.29,15477091.0,298125216.0,28.52968253968254,0.007227671657201887
2014-05-29,19.52,19.56,19.33,19.32,12620623.0,242842640.0,27.80763157894737,-0.00922603792926721
2014-05-30,19.33,19.65,19.46,19.33,15587821.0,301241024.0,29.107999999999997,0.006725297465080319
2014-06-03,19.47,19.57,19.35,19.32,13179089.0,254122528.0,28.75228571428572,-0.0056526207605344
2014-06-04,19.35,19.35,18.99,18.79,21147544.0,398446560.0,28.742066115702475,-0.01860465116279085
2014-06-05,19.08,19.77,19.57,19.07,34455384.0,667300992.0,19.256521739130434,0.03054239073196429
2014-06-06,19.57,19.57,19.27,19.07,18105324.0,345901088.0,19.4399358974359,-0.015329586101175305
2014-06-09,19.35,19.75,19.43,19.29,27554168.0,535241440.0,21.98365714285714,0.008303061754021804
2014-06-10,19.37,19.53,19.46,19.23,15384976.0,295147328.0,23.55230769230769,0.0015440041173443715
2014-06-11,19.38,19.57,19.47,19.3,12989018.0,250533488.0,26.060509259259266,0.0005138746145939368
2014-06-12,19.41,19.5,19.27,19.25,15088676.0,289026368.0,27.695420168067226,-0.010272213662044135
2014-06-13,19.27,19.52,19.38,19.26,15716716.0,302422720.0,27.898669950738917,0.005708354955889955
2014-06-16,19.35,19.44,19.37,19.29,12242742.0,234980880.0,27.245122807017545,-0.0005159958720329211
2014-06-17,19.37,19.48,19.33,19.3,11042372.0,211978528.0,28.477161290322577,-0.002065049044914956
2014-06-18,19.31,19.51,19.38,19.03,22353124.0,427082304.0,28.16651785714286,0.002586652871184724
2014-06-19,19.37,19.47,19.09,19.05,19961394.0,380605632.0,28.1570924117205,-0.014963880288957645
2014-06-20,19.12,19.33,19.2,19.08,11959882.0,227955392.0,19.25319693094629,0.005762179151388131
2014-06-23,19.22,19.55,19.4,19.09,22138176.0,424289152.0,19.437653846153847,0.01041666666666663
2014-06-24,19.31,20.66,20.21,19.28,80227096.0,1590228480.0,21.885120634920632,0.04175257731958775
2014-06-25,19.92,20.02,19.6,19.58,37858600.0,742335552.0,23.338669438669434,-0.030183077684314667
2014-06-26,19.72,19.87,19.62,19.58,24068484.0,469985440.0,25.721535087719307,0.0010204081632652843
2014-06-27,19.61,19.76,19.55,19.43,19853080.0,385781952.0,27.277706313294548,-0.0035677879714577105
2014-06-30,19.58,19.96,19.82,19.51,22941636.0,449513184.0,27.494736453201973,0.013810741687979517
2014-07-01,19.91,20.24,19.86,19.68,28862600.0,571701824.0,26.8848729139923,0.0020181634712411276
