Code,Name
000001.SZ,平安银行
000002.SZ,万科A
000006.SZ,深振业A
000009.SZ,中国宝安
000012.SZ,南玻A
000021.SZ,长城开发
000024.SZ,招商地产
000027.SZ,深圳能源
000028.SZ,国药一致
000030.SZ,富奥股份
000031.SZ,中粮地产
000039.SZ,中集集团
000049.SZ,德赛电池
000050.SZ,深天马A
000060.SZ,中金岭南
000061.SZ,农产品
000063.SZ,中兴通讯
000066.SZ,长城电脑
000069.SZ,华侨城A
000078.SZ,海王生物
000088.SZ,盐田港
000090.SZ,天健集团
000099.SZ,中信海直
000100.SZ,TCL集团
000156.SZ,华数传媒
000157.SZ,中联重科
000333.SZ,美的集团
000338.SZ,潍柴动力
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金融街
000413.SZ,东旭光电
000415.SZ,渤海租赁
000417.SZ,合肥百货
000418.SZ,小天鹅A
000422.SZ,湖北宜化
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000426.SZ,兴业矿业
000488.SZ,晨鸣纸业
000501.SZ,鄂武商A
000503.SZ,海虹控股
000506.SZ,中润资源
000510.SZ,金路集团
000511.SZ,烯碳新材
000513.SZ,丽珠集团
000525.SZ,红太阳
000528.SZ,柳工
000536.SZ,华映科技
000538.SZ,云南白药
000540.SZ,中天城投
000541.SZ,佛山照明
000543.SZ,皖能电力
000550.SZ,江铃汽车
000552.SZ,靖远煤电
000559.SZ,万向钱潮
000562.SZ,宏源证券
000563.SZ,陕国投A
000566.SZ,海南海药
000568.SZ,泸州老窖
000572.SZ,海马汽车
000581.SZ,威孚高科
000587.SZ,金叶珠宝
000596.SZ,古井贡酒
000598.SZ,兴蓉投资
000603.SZ,盛达矿业
000612.SZ,焦作万方
000616.SZ,亿城投资
000620.SZ,新华联
000623.SZ,吉林敖东
000625.SZ,长安汽车
000629.SZ,攀钢钒钛
000630.SZ,铜陵有色
000631.SZ,顺发恒业
000636.SZ,风华高科
000650.SZ,仁和药业
000651.SZ,格力电器
000652.SZ,泰达股份
000656.SZ,金科股份
000667.SZ,美好集团
000669.SZ,金鸿能源
000671.SZ,阳光城
000680.SZ,山推股份
000685.SZ,中山公用
000686.SZ,东北证券
000688.SZ,建新矿业
000690.SZ,宝新能源
000693.SZ,华泽钴镍
000697.SZ,炼石有色
000703.SZ,恒逸石化
000709.SZ,河北钢铁
000712.SZ,锦龙股份
000718.SZ,苏宁环球
000719.SZ,大地传媒
000725.SZ,京东方A
000726.SZ,鲁泰A
000728.SZ,国元证券
000729.SZ,燕京啤酒
000732.SZ,泰禾集团
000735.SZ,罗牛山
000750.SZ,国海证券
000758.SZ,中色股份
000762.SZ,西藏矿业
000768.SZ,中航飞机
000776.SZ,广发证券
000777.SZ,中核科技
000778.SZ,新兴铸管
000780.SZ,平庄能源
000783.SZ,长江证券
000786.SZ,北新建材
000788.SZ,北大医药
000792.SZ,盐湖股份
000793.SZ,华闻传媒
000800.SZ,一汽轿车
000809.SZ,铁岭新城
000816.SZ,江淮动力
000823.SZ,超声电子
000826.SZ,桑德环境
000829.SZ,天音控股
000830.SZ,鲁西化工
000831.SZ,五矿稀土
000839.SZ,中信国安
000848.SZ,承德露露
000850.SZ,华茂股份
000852.SZ,江钻股份
000858.SZ,五粮液
000860.SZ,顺鑫农业
000861.SZ,海印股份
000869.SZ,张裕A
000876.SZ,新希望
000877.SZ,天山股份
000878.SZ,云南铜业
000883.SZ,湖北能源
000886.SZ,海南高速
000887.SZ,中鼎股份
000895.SZ,双汇发展
000897.SZ,津滨发展
000900.SZ,现代投资
000917.SZ,电广传媒
000919.SZ,金陵药业
000921.SZ,海信科龙
000926.SZ,福星股份
000927.SZ,一汽夏利
000930.SZ,中粮生化
000931.SZ,中关村
000933.SZ,神火股份
000937.SZ,冀中能源
000939.SZ,凯迪电力
000951.SZ,中国重汽
000960.SZ,锡业股份
000961.SZ,中南建设
000962.SZ,东方钽业
000963.SZ,华东医药
000969.SZ,安泰科技
000970.SZ,中科三环
000973.SZ,佛塑科技
000975.SZ,银泰资源
000977.SZ,浪潮信息
000979.SZ,中弘股份
000982.SZ,中银绒业
000983.SZ,西山煤电
000988.SZ,华工科技
000997.SZ,新大陆
000998.SZ,隆平高科
000999.SZ,华润三九
001696.SZ,宗申动力
002001.SZ,新和成
002004.SZ,华邦颖泰
002005.SZ,德豪润达
002007.SZ,华兰生物
002008.SZ,大族激光
002011.SZ,盾安环境
002013.SZ,中航机电
002018.SZ,华信国际
002022.SZ,科华生物
002024.SZ,苏宁云商
002025.SZ,航天电器
002028.SZ,思源电气
002029.SZ,七匹狼
002038.SZ,双鹭药业
002041.SZ,登海种业
002048.SZ,宁波华翔
002050.SZ,三花股份
002051.SZ,中工国际
002052.SZ,同洲电子
002056.SZ,横店东磁
002063.SZ,远光软件
002064.SZ,华峰氨纶
002065.SZ,东华软件
002069.SZ,獐子岛
002073.SZ,软控股份
002078.SZ,太阳纸业
002081.SZ,金螳螂
002083.SZ,孚日股份
002091.SZ,江苏国泰
002092.SZ,中泰化学
002093.SZ,国脉科技
002106.SZ,莱宝高科
002118.SZ,紫鑫药业
002122.SZ,天马股份
002123.SZ,荣信股份
002128.SZ,露天煤业
002129.SZ,中环股份
002140.SZ,东华科技
002142.SZ,宁波银行
002146.SZ,荣盛发展
002153.SZ,石基信息
002155.SZ,辰州矿业
002161.SZ,远望谷
002168.SZ,深圳惠程
002179.SZ,中航光电
002181.SZ,粤传媒
002183.SZ,怡亚通
002191.SZ,劲嘉股份
002194.SZ,武汉凡谷
002202.SZ,金风科技
002203.SZ,海亮股份
002204.SZ,大连重工
002216.SZ,三全食品
002219.SZ,恒康医疗
002221.SZ,东华能源
002223.SZ,鱼跃医疗
002225.SZ,濮耐股份
002226.SZ,江南化工
002230.SZ,科大讯飞
002233.SZ,塔牌集团
002236.SZ,大华股份
002237.SZ,恒邦股份
002238.SZ,天威视讯
002241.SZ,歌尔声学
002242.SZ,九阳股份
002244.SZ,滨江集团
002249.SZ,大洋电机
002250.SZ,联化科技
002251.SZ,步步高
002252.SZ,上海莱士
002254.SZ,泰和新材
002266.SZ,浙富控股
002267.SZ,陕天然气
002269.SZ,美邦服饰
002271.SZ,东方雨虹
002273.SZ,水晶光电
002275.SZ,桂林三金
002276.SZ,万马股份
002277.SZ,友阿股份
002281.SZ,光迅科技
002285.SZ,世联行
002292.SZ,奥飞动漫
002293.SZ,罗莱家纺
002294.SZ,信立泰
002304.SZ,洋河股份
002308.SZ,威创股份
002309.SZ,中利科技
002310.SZ,东方园林
002311.SZ,海大集团
002315.SZ,焦点科技
002317.SZ,众生药业
002320.SZ,海峡股份
002325.SZ,洪涛股份
002327.SZ,富安娜
002332.SZ,仙琚制药
002340.SZ,格林美
002342.SZ,巨力索具
002344.SZ,海宁皮城
002345.SZ,潮宏基
002353.SZ,杰瑞股份
002358.SZ,森源电气
002368.SZ,太极股份
002371.SZ,七星电子
002375.SZ,亚厦股份
002384.SZ,东山精密
002385.SZ,大北农
002392.SZ,北京利尔
002393.SZ,力生制药
002396.SZ,星网锐捷
002399.SZ,海普瑞
002400.SZ,省广股份
002405.SZ,四维图新
002408.SZ,齐翔腾达
002410.SZ,广联达
002414.SZ,高德红外
002415.SZ,海康威视
002416.SZ,爱施德
002419.SZ,天虹商场
002422.SZ,科伦药业
002424.SZ,贵州百灵
002428.SZ,云南锗业
002429.SZ,兆驰股份
002430.SZ,杭氧股份
002431.SZ,棕榈园林
002437.SZ,誉衡药业
002440.SZ,闰土股份
002444.SZ,巨星科技
002450.SZ,康得新
002456.SZ,欧菲光
002461.SZ,珠江啤酒
002463.SZ,沪电股份
002465.SZ,海格通信
002470.SZ,金正大
002475.SZ,立讯精密
002477.SZ,雏鹰农牧
002479.SZ,富春环保
002480.SZ,新筑股份
002482.SZ,广田股份
002489.SZ,浙江永强
002490.SZ,山东墨龙
002498.SZ,汉缆股份
002500.SZ,山西证券
002503.SZ,搜于特
002508.SZ,老板电器
002551.SZ,尚荣医疗
002557.SZ,洽洽食品
002570.SZ,贝因美
002573.SZ,国电清新
002574.SZ,明牌珠宝
002588.SZ,史丹利
002594.SZ,比亚迪
002595.SZ,豪迈科技
002603.SZ,以岭药业
002612.SZ,朗姿股份
002635.SZ,安洁科技
002646.SZ,青青稞酒
002648.SZ,卫星石化
002653.SZ,海思科
002662.SZ,京威股份
002663.SZ,普邦园林
002672.SZ,东江环保
002673.SZ,西部证券
002678.SZ,珠江钢琴
002690.SZ,美亚光电
002698.SZ,博实股份
002701.SZ,奥瑞金
002705.SZ,新宝股份
002714.SZ,牧原股份
600000.SH,浦发银行
600004.SH,白云机场
600006.SH,东风汽车
600008.SH,首创股份
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600015.SH,华夏银行
600016.SH,民生银行
600017.SH,日照港
600018.SH,上港集团
600019.SH,宝钢股份
600021.SH,上海电力
600023.SH,浙能电力
600026.SH,中海发展
600027.SH,华电国际
600028.SH,中国石化
600029.SH,南方航空
600030.SH,中信证券
600031.SH,三一重工
600036.SH,招商银行
600037.SH,歌华有线
600038.SH,哈飞股份
600039.SH,四川路桥
600048.SH,保利地产
600050.SH,中国联通
600056.SH,中国医药
600058.SH,五矿发展
600059.SH,古越龙山
600060.SH,海信电器
600062.SH,华润双鹤
600064.SH,南京高科
600066.SH,宇通客车
600067.SH,冠城大通
600068.SH,葛洲坝
600073.SH,上海梅林
600078.SH,澄星股份
600079.SH,人福医药
600085.SH,同仁堂
600086.SH,东方金钰
600088.SH,中视传媒
600089.SH,特变电工
600100.SH,同方股份
600104.SH,上汽集团
600108.SH,亚盛集团
