trade_code,weight
600015.SH,0.204489439
000732.SZ,0.018834089
000620.SZ,0.018834089
600648.SH,0.018834089
002118.SZ,0.016828771
002424.SZ,0.016828771
300147.SZ,0.016828771
000839.SZ,0.006042456
002271.SZ,0.010918824
000418.SZ,0.034664617
000951.SZ,0.022208677
000550.SZ,0.022208677
002461.SZ,0.028198129
600429.SH,0.028198129
002384.SZ,0.013675032
601231.SH,0.013675032
002308.SZ,0.012349932
600536.SH,0.012349932
000088.SZ,0.014364084
600004.SH,0.014364084
600900.SH,0.020353537
601158.SH,0.020353537
002194.SZ,0.014523096
600499.SH,0.0119259
600108.SH,0.003922296
600201.SH,0.003922296
601668.SH,0.016749265
600820.SH,0.016749265
600122.SH,0.011978904
000861.SZ,0.011978904
002408.SZ,0.011024832
601208.SH,0.011024832
002221.SZ,0.011024832
600456.SH,0.014805785
000603.SZ,0.014805785
002237.SZ,0.014805785
601999.SH,0.017067289
601011.SH,0.019293457
000552.SZ,0.019293457
002028.SZ,0.009381708
601336.SH,0.07245647
601601.SH,0.07245647
600010.SH,0.011554872
600038.SH,0.023851801
