Code,Name,industry_sw,industry_swcode
000001.SZ,平安银行,银行,1.00001E+15
000002.SZ,万科A,房地产,6.118E+15
000004.SZ,国农科技,医药生物,6.115E+15
000005.SZ,世纪星源,房地产,6.118E+15
000006.SZ,深振业A,房地产,6.118E+15
000007.SZ,零七股份,休闲服务,6.121E+15
000008.SZ,宝利来,休闲服务,6.121E+15
000009.SZ,中国宝安,综合,6.123E+15
000010.SZ,深华新,综合,6.123E+15
000011.SZ,深物业A,房地产,6.118E+15
000012.SZ,南玻A,建筑材料,6.10601E+15
000014.SZ,沙河股份,房地产,6.118E+15
000016.SZ,深康佳A,家用电器,6.111E+15
000017.SZ,深中华A,汽车,1.00001E+15
000018.SZ,中冠A,综合,6.123E+15
000019.SZ,深深宝A,食品饮料,6.112E+15
000020.SZ,深华发A,电子,6.108E+15
000021.SZ,长城开发,计算机,1.00001E+15
000022.SZ,深赤湾A,交通运输,6.117E+15
000023.SZ,深天地A,建筑材料,6.10601E+15
000024.SZ,招商地产,房地产,6.118E+15
000025.SZ,特力A,汽车,1.00001E+15
000026.SZ,飞亚达A,轻工制造,6.114E+15
000027.SZ,深圳能源,公用事业,6.116E+15
000028.SZ,国药一致,医药生物,6.115E+15
000029.SZ,深深房A,房地产,6.118E+15
000030.SZ,富奥股份,汽车,1.00001E+15
000031.SZ,中粮地产,房地产,6.118E+15
000032.SZ,深桑达A,通信,1.00001E+15
000033.SZ,*ST新都,休闲服务,6.121E+15
000034.SZ,深信泰丰,通信,1.00001E+15
000035.SZ,中国天楹,公用事业,6.116E+15
000036.SZ,华联控股,房地产,6.118E+15
000037.SZ,深南电A,公用事业,6.116E+15
000038.SZ,深大通,房地产,6.118E+15
000039.SZ,中集集团,机械设备,6.107E+15
000040.SZ,宝安地产,房地产,6.118E+15
000042.SZ,中洲控股,房地产,6.118E+15
000043.SZ,中航地产,房地产,6.118E+15
000045.SZ,深纺织A,电子,6.108E+15
000046.SZ,泛海控股,房地产,6.118E+15
000048.SZ,康达尔,农林牧渔,6.101E+15
000049.SZ,德赛电池,电子,6.108E+15
000050.SZ,深天马A,电子,6.108E+15
000055.SZ,方大集团,建筑装饰,6.10602E+15
000056.SZ,深国商,房地产,6.118E+15
000058.SZ,深赛格,商业贸易,6.12E+15
000059.SZ,华锦股份,化工,6.103E+15
000060.SZ,中金岭南,有色金属,6.105E+15
000061.SZ,农产品,商业贸易,6.12E+15
000062.SZ,深圳华强,商业贸易,6.12E+15
000063.SZ,中兴通讯,通信,1.00001E+15
000065.SZ,北方国际,建筑装饰,6.10602E+15
000066.SZ,长城电脑,计算机,1.00001E+15
000068.SZ,华控赛格,综合,6.123E+15
000069.SZ,华侨城A,房地产,6.118E+15
000070.SZ,特发信息,通信,1.00001E+15
000078.SZ,海王生物,医药生物,6.115E+15
000088.SZ,盐田港,交通运输,6.117E+15
000089.SZ,深圳机场,交通运输,6.117E+15
000090.SZ,天健集团,房地产,6.118E+15
000096.SZ,广聚能源,化工,6.103E+15
000099.SZ,中信海直,交通运输,6.117E+15
000100.SZ,TCL集团,家用电器,6.111E+15
000150.SZ,宜华地产,房地产,6.118E+15
000151.SZ,中成股份,商业贸易,6.12E+15
000153.SZ,丰原药业,医药生物,6.115E+15
000155.SZ,川化股份,化工,6.103E+15
000156.SZ,华数传媒,传媒,6.12201E+15
000157.SZ,中联重科,机械设备,6.107E+15
000158.SZ,常山股份,纺织服装,6.113E+15
000159.SZ,国际实业,采掘,6.102E+15
000301.SZ,东方市场,商业贸易,6.12E+15
000333.SZ,美的集团,家用电器,6.111E+15
000338.SZ,潍柴动力,汽车,1.00001E+15
000400.SZ,许继电气,电气设备,6.10701E+15
000401.SZ,冀东水泥,建筑材料,6.10601E+15
000402.SZ,金融街,房地产,6.118E+15
000403.SZ,ST生化,医药生物,6.115E+15
000404.SZ,华意压缩,家用电器,6.111E+15
000407.SZ,胜利股份,化工,6.103E+15
000408.SZ,金谷源,商业贸易,6.12E+15
000409.SZ,山东地矿,采掘,6.102E+15
000410.SZ,沈阳机床,机械设备,6.107E+15
000411.SZ,英特集团,医药生物,6.115E+15
000413.SZ,东旭光电,电子,6.108E+15
000415.SZ,渤海租赁,非银金融,1.00001E+15
000416.SZ,民生控股,商业贸易,6.12E+15
000417.SZ,合肥百货,商业贸易,6.12E+15
000418.SZ,小天鹅A,家用电器,6.111E+15
