Index Name(Eng.),Weight(%)
000001.SZ,1.08
000002.SZ,1.63
000009.SZ,0.37
000012.SZ,0.18
000024.SZ,0.23
000027.SZ,0.1
000039.SZ,0.23
000060.SZ,0.2
000061.SZ,0.26
000063.SZ,0.51
000069.SZ,0.36
000100.SZ,0.36
000156.SZ,0.04
000157.SZ,0.37
000333.SZ,0.69
000338.SZ,0.4
000400.SZ,0.23
000401.SZ,0.08
000402.SZ,0.29
000413.SZ,0.11
000423.SZ,0.34
000425.SZ,0.18
000503.SZ,0.3
000536.SZ,0.11
000538.SZ,0.49
000562.SZ,0.34
000568.SZ,0.23
000581.SZ,0.29
000598.SZ,0.17
000623.SZ,0.22
000625.SZ,0.46
000629.SZ,0.19
000630.SZ,0.13
000651.SZ,1.28
000656.SZ,0.08
000686.SZ,0.15
000709.SZ,0.16
000718.SZ,0.08
000725.SZ,0.43
000728.SZ,0.24
000729.SZ,0.17
000750.SZ,0.12
000758.SZ,0.12
000768.SZ,0.34
000776.SZ,0.56
000778.SZ,0.17
000783.SZ,0.35
000792.SZ,0.21
000793.SZ,0.28
000800.SZ,0.16
000826.SZ,0.23
000831.SZ,0.26
000839.SZ,0.14
000858.SZ,0.66
000869.SZ,0.08
000876.SZ,0.19
000878.SZ,0.13
000883.SZ,0.13
000895.SZ,0.43
000917.SZ,0.22
000937.SZ,0.1
000960.SZ,0.14
000961.SZ,0.05
000963.SZ,0.23
000970.SZ,0.25
000983.SZ,0.17
000999.SZ,0.14
002001.SZ,0.15
002007.SZ,0.14
002008.SZ,0.32
002024.SZ,0.62
002038.SZ,0.22
002051.SZ,0.1
002065.SZ,0.23
002081.SZ,0.28
002106.SZ,0.12
002129.SZ,0.15
002142.SZ,0.2
002146.SZ,0.11
002202.SZ,0.31
002230.SZ,0.28
002236.SZ,0.26
002241.SZ,0.39
002252.SZ,0.14
002269.SZ,0.05
002292.SZ,0.12
002294.SZ,0.11
002304.SZ,0.39
002310.SZ,0.13
002344.SZ,0.15
002353.SZ,0.28
002375.SZ,0.12
002385.SZ,0.2
002399.SZ,0.1
002400.SZ,0.2
002410.SZ,0.19
