证券代码,证券名称,目标数量,目标权重
000088.SZ,证券,0,0.0144959762912933
000418.SZ,证券,0,0.0353792670113524
000550.SZ,证券,0,0.0209824703348414
000552.SZ,证券,0,0.0184653616722785
000603.SZ,证券,0,0.0146851545698633
000732.SZ,证券,0,0.0247995864681853
000839.SZ,证券,0,0.00539867913487512
000861.SZ,证券,0,0.0119602938638599
000951.SZ,证券,0,0.0228724970535388
002028.SZ,证券,0,0.00981908113013239
002118.SZ,证券,0,0.0170541637759249
002194.SZ,证券,0,0.0138384761846048
002221.SZ,证券,0,0.0139357999184623
002237.SZ,证券,0,0.00821360531391087
002271.SZ,证券,0,0.0102820511952768
002384.SZ,证券,0,0.0149026829998941
002408.SZ,证券,0,0.0103642756967531
002424.SZ,证券,0,0.0186281885595562
002461.SZ,证券,0,0.0277643558555765
300147.SZ,证券,0,0.0201878602761659
600004.SH,证券,0,0.0151203420423931
600010.SH,证券,0,0.0114642631288508
600015.SH,证券,0,0.236362287554701
600038.SH,证券,0,0.0216192558524246
600108.SH,证券,0,0.0039201706605728
600122.SH,证券,0,0.0152256897236089
600201.SH,证券,0,0.00360560555744612
600429.SH,证券,0,0.0259451855861183
600456.SH,证券,0,0.0141939157929565
600499.SH,证券,0,0.0118619509842181
600536.SH,证券,0,0.0106873013991306
600648.SH,证券,0,0.0197520818776654
600820.SH,证券,0,0.0211043682429419
600900.SH,证券,0,0.021229835077415
601011.SH,证券,0,0.0199149172718865
601158.SH,证券,0,0.0212101451567438
601208.SH,证券,0,0.0102008063915603
601231.SH,证券,0,0.0126712575370028
601336.SH,证券,0,0.0651020345432552
601601.SH,证券,0,0.0687398624002172
601668.SH,证券,0,0.0195338992876613
601999.SH,证券,0,0.0165049966248844
