trade_code,weight
000006.SZ,0.0025
000012.SZ,0.0046
000021.SZ,0.0018
000028.SZ,0.0021
000030.SZ,0.001
000031.SZ,0.0025
000049.SZ,0.0012
000050.SZ,0.0021
000062.SZ,0.0012
000066.SZ,0.0023
000078.SZ,0.0028
000088.SZ,0.002
000090.SZ,0.002
000099.SZ,0.0017
000415.SZ,0.0024
000417.SZ,0.0014
000418.SZ,0.0011
000422.SZ,0.0018
000426.SZ,0.001
000488.SZ,0.0018
000501.SZ,0.0013
000506.SZ,0.0009
000510.SZ,0.0008
000511.SZ,0.0032
000513.SZ,0.0017
000519.SZ,0.0009
000525.SZ,0.0009
000528.SZ,0.0025
000540.SZ,0.005
000541.SZ,0.0019
000543.SZ,0.0019
000550.SZ,0.0019
000552.SZ,0.0006
000555.SZ,0.0015
000563.SZ,0.0018
000566.SZ,0.0041
000572.SZ,0.0018
000587.SZ,0.0015
000596.SZ,0.001
000603.SZ,0.0005
000612.SZ,0.002
000616.SZ,0.004
000620.SZ,0.0014
000631.SZ,0.0008
000636.SZ,0.0016
000650.SZ,0.0017
000652.SZ,0.0025
000656.SZ,0.0031
000661.SZ,0.003
000667.SZ,0.0024
000669.SZ,0.0017
000671.SZ,0.003
000680.SZ,0.0022
000681.SZ,0.0019
000685.SZ,0.002
000688.SZ,0.0008
000690.SZ,0.0028
000693.SZ,0.0004
000697.SZ,0.0022
000703.SZ,0.0011
000712.SZ,0.0047
000718.SZ,0.0023
000719.SZ,0.0004
000726.SZ,0.0015
000732.SZ,0.0023
000735.SZ,0.0019
000748.SZ,0.0037
000758.SZ,0.0033
000762.SZ,0.0016
000777.SZ,0.0026
000780.SZ,0.0008
000786.SZ,0.0024
000788.SZ,0.0017
000809.SZ,0.0012
000816.SZ,0.0024
000823.SZ,0.0011
000829.SZ,0.0028
000830.SZ,0.0018
000848.SZ,0.0018
000850.SZ,0.0015
000852.SZ,0.001
000860.SZ,0.0013
000861.SZ,0.0014
000877.SZ,0.0018
000886.SZ,0.0012
000887.SZ,0.003
000897.SZ,0.0025
000900.SZ,0.0016
000919.SZ,0.0014
000921.SZ,0.0009
000926.SZ,0.0017
000927.SZ,0.0011
000930.SZ,0.0027
000931.SZ,0.0016
000933.SZ,0.0019
000939.SZ,0.0029
000951.SZ,0.0009
000959.SZ,0.0022
000961.SZ,0.0015
000962.SZ,0.0009
000969.SZ,0.0017
000973.SZ,0.0016
000975.SZ,0.0022
000977.SZ,0.0039
000979.SZ,0.002
000982.SZ,0.0009
000988.SZ,0.0022
000997.SZ,0.0031
000998.SZ,0.0041
001696.SZ,0.0038
002004.SZ,0.0028
002005.SZ,0.0024
002011.SZ,0.0017
002013.SZ,0.0015
002018.SZ,0.0027
002022.SZ,0.0034
002025.SZ,0.0012
002028.SZ,0.0016
002029.SZ,0.0015
002030.SZ,0.0043
002041.SZ,0.0014
002048.SZ,0.0022
002050.SZ,0.002
002052.SZ,0.0016
002056.SZ,0.0014
002063.SZ,0.0033
002064.SZ,0.0015
002069.SZ,0.0011
002073.SZ,0.0025
002078.SZ,0.0012
002083.SZ,0.0011
002091.SZ,0.001
002092.SZ,0.0023
002093.SZ,0.0015
002106.SZ,0.0018
002118.SZ,0.0012
002122.SZ,0.0017
002123.SZ,0.0017
002128.SZ,0.0011
002140.SZ,0.0013
002155.SZ,0.0022
002161.SZ,0.002
002168.SZ,0.0017
002174.SZ,0.001
002179.SZ,0.002
002181.SZ,0.0015
002183.SZ,0.005
002191.SZ,0.0028
002194.SZ,0.0008
002203.SZ,0.0013
002204.SZ,0.0015
002216.SZ,0.0011
002219.SZ,0.0026
002221.SZ,0.0026
002223.SZ,0.0028
002225.SZ,0.0007
002226.SZ,0.001
002233.SZ,0.001
002237.SZ,0.0018
002238.SZ,0.0007
002240.SZ,0.0012
002242.SZ,0.0011
002244.SZ,0.0019
002249.SZ,0.0011
002250.SZ,0.0028
002251.SZ,0.0017
002254.SZ,0.0014
002266.SZ,0.0035
002267.SZ,0.0008
002269.SZ,0.0019
002271.SZ,0.002
002273.SZ,0.0018
002275.SZ,0.001
002276.SZ,0.0019
002277.SZ,0.0016
002281.SZ,0.0009
002285.SZ,0.0031
002293.SZ,0.0012
002299.SZ,0.0018
002308.SZ,0.0014
002309.SZ,0.0017
002311.SZ,0.0019
002315.SZ,0.0012
002317.SZ,0.0016
002320.SZ,0.0007
002325.SZ,0.0017
002327.SZ,0.0009
002332.SZ,0.0015
002340.SZ,0.0025
002342.SZ,0.0013
002345.SZ,0.0016
002358.SZ,0.0024
002368.SZ,0.0026
002371.SZ,0.0014
002384.SZ,0.0014
002390.SZ,0.0015
002392.SZ,0.0009
002393.SZ,0.0009
002396.SZ,0.0017
002405.SZ,0.0041
002408.SZ,0.0012
002414.SZ,0.0019
002419.SZ,0.0006
002424.SZ,0.0026
002428.SZ,0.002
002430.SZ,0.0007
002431.SZ,0.0014
002437.SZ,0.0021
002440.SZ,0.0025
002444.SZ,0.0019
002461.SZ,0.0008
002463.SZ,0.0015
002477.SZ,0.0018
002479.SZ,0.0009
002480.SZ,0.0012
002482.SZ,0.0015
002489.SZ,0.0019
002490.SZ,0.0007
002498.SZ,0.0005
002503.SZ,0.001
002505.SZ,0.0018
002508.SZ,0.0018
002551.SZ,0.0016
002557.SZ,0.0008
002573.SZ,0.0024
002574.SZ,0.0009
002588.SZ,0.0015
002595.SZ,0.0022
002612.SZ,0.0005
002635.SZ,0.0006
002646.SZ,0.0011
002648.SZ,0.0009
002662.SZ,0.0006
002663.SZ,0.0016
002665.SZ,0.0019
002672.SZ,0.0015
002678.SZ,0.0007
002690.SZ,0.0021
002698.SZ,0.0009
002701.SZ,0.0033
002705.SZ,0.0004
002714.SZ,0.0012
002727.SZ,0.0014
300039.SZ,0.0015
300059.SZ,0.0224
300088.SZ,0.0015
300115.SZ,0.002
300134.SZ,0.0023
300144.SZ,0.0045
300147.SZ,0.0024
300168.SZ,0.0081
300202.SZ,0.0021
300253.SZ,0.0051
300273.SZ,0.0027
600004.SH,0.0015
600006.SH,0.0014
600017.SH,0.0023
600021.SH,0.0038
600026.SH,0.0039
600037.SH,0.0044
600039.SH,0.0016
600056.SH,0.0019
600059.SH,0.0014
600062.SH,0.0022
600064.SH,0.0028
600067.SH,0.0025
600073.SH,0.0014
600078.SH,0.0009
600086.SH,0.0017
600088.SH,0.0012
600098.SH,0.0021
600110.SH,0.0023
600112.SH,0.0021
600120.SH,0.0022
600122.SH,0.0032
600125.SH,0.0028
600132.SH,0.0013
600138.SH,0.0029
600141.SH,0.0012
600151.SH,0.0028
600158.SH,0.004
600160.SH,0.002
600161.SH,0.0023
600162.SH,0.0009
600169.SH,0.0038
600171.SH,0.0024
600175.SH,0.0027
600176.SH,0.002
600180.SH,0.0018
600183.SH,0.002
600184.SH,0.0007
600187.SH,0.003
600195.SH,0.001
600197.SH,0.0007
600198.SH,0.0021
600199.SH,0.0011
600200.SH,0.0031
600201.SH,0.0038
600216.SH,0.0021
600219.SH,0.006
600220.SH,0.0023
600239.SH,0.0014
600240.SH,0.0035
600251.SH,0.0013
600259.SH,0.0019
600260.SH,0.0014
600261.SH,0.0017
600266.SH,0.0032
600270.SH,0.0022
600280.SH,0.0007
600284.SH,0.0021
600289.SH,0.0021
600292.SH,0.0013
600298.SH,0.0011
600300.SH,0.0015
600312.SH,0.0033
600317.SH,0.0028
600320.SH,0.0035
600325.SH,0.0023
600329.SH,0.0011
600333.SH,0.0007
600335.SH,0.0012
600337.SH,0.0014
600351.SH,0.0017
600366.SH,0.0023
600376.SH,0.0029
600380.SH,0.003
600387.SH,0.0015
600389.SH,0.0008
600392.SH,0.0014
600397.SH,0.001
600401.SH,0.0012
600409.SH,0.0021
600410.SH,0.005
600416.SH,0.0018
600418.SH,0.003
600422.SH,0.0021
600425.SH,0.0012
600426.SH,0.0022
600428.SH,0.0024
600429.SH,0.0011
600432.SH,0.0021
600433.SH,0.003
600435.SH,0.0029
600438.SH,0.001
600439.SH,0.0011
600456.SH,0.0011
600458.SH,0.0022
600460.SH,0.0015
600467.SH,0.0009
600468.SH,0.0009
600478.SH,0.0026
600481.SH,0.0016
600482.SH,0.0017
600487.SH,0.0012
600488.SH,0.0012
600490.SH,0.0029
600496.SH,0.0016
600499.SH,0.0031
600507.SH,0.0011
600509.SH,0.0016
600510.SH,0.0011
600511.SH,0.0024
600517.SH,0.0025
600521.SH,0.0024
600522.SH,0.0025
600525.SH,0.0042
600528.SH,0.004
600536.SH,0.0025
600537.SH,0.0011
600545.SH,0.0025
600546.SH,0.0018
600551.SH,0.0011
600557.SH,0.0022
600563.SH,0.0011
600572.SH,0.0031
600575.SH,0.0008
600580.SH,0.0018
600582.SH,0.0031
600584.SH,0.0032
600586.SH,0.0014
600587.SH,0.0034
600596.SH,0.0016
600601.SH,0.0054
600611.SH,0.0026
600612.SH,0.0015
600614.SH,0.0014
600616.SH,0.001
600618.SH,0.0007
600628.SH,0.0014
600635.SH,0.0044
600636.SH,0.0011
600639.SH,0.0015
600640.SH,0.0013
600643.SH,0.0034
600645.SH,0.0048
600651.SH,0.002
600654.SH,0.0027
600657.SH,0.0013
600673.SH,0.0019
600675.SH,0.0028
600685.SH,0.0029
600694.SH,0.0039
600699.SH,0.0019
600702.SH,0.0013
600704.SH,0.0031
600720.SH,0.0016
600729.SH,0.0012
600736.SH,0.0013
600737.SH,0.0034
600740.SH,0.0012
600743.SH,0.0009
600747.SH,0.0014
600748.SH,0.0018
600750.SH,0.0013
600754.SH,0.0015
600755.SH,0.0038
600757.SH,0.0019
600759.SH,0.0031
600761.SH,0.0016
600765.SH,0.003
600770.SH,0.0032
600773.SH,0.0011
600776.SH,0.0014
600780.SH,0.001
600787.SH,0.0029
600790.SH,0.0019
600797.SH,0.0017
600801.SH,0.0005
600803.SH,0.0009
600805.SH,0.0024
600811.SH,0.0039
600812.SH,0.0017
600816.SH,0.0026
600820.SH,0.005
600823.SH,0.0018
600825.SH,0.0018
600826.SH,0.0018
600830.SH,0.0012
600831.SH,0.0016
600835.SH,0.0024
600844.SH,0.0011
600850.SH,0.0013
600851.SH,0.0018
600859.SH,0.0016
600864.SH,0.0014
600869.SH,0.0012
600872.SH,0.0039
600874.SH,0.0015
600879.SH,0.004
600881.SH,0.0048
600884.SH,0.0018
600885.SH,0.0015
600894.SH,0.0019
600895.SH,0.0042
600967.SH,0.0025
600970.SH,0.0017
600971.SH,0.0011
600978.SH,0.0043
600983.SH,0.0008
600993.SH,0.0015
600997.SH,0.0012
601000.SH,0.0031
601001.SH,0.0019
601002.SH,0.0021
601010.SH,0.0017
601011.SH,0.0006
601012.SH,0.0039
601099.SH,0.008
601101.SH,0.0012
601126.SH,0.0011
601208.SH,0.0008
601233.SH,0.0012
601311.SH,0.0019
601369.SH,0.0017
601388.SH,0.0009
601515.SH,0.0008
601519.SH,0.006
601566.SH,0.0008
601608.SH,0.0012
601666.SH,0.002
601678.SH,0.0014
601717.SH,0.0021
601718.SH,0.0035
601777.SH,0.0012
601801.SH,0.0011
601872.SH,0.0044
601880.SH,0.0018
601886.SH,0.0014
601908.SH,0.0011
601965.SH,0.0008
601999.SH,0.0007
603001.SH,0.0007
603005.SH,0.0008
603077.SH,0.0012
603328.SH,0.0006
603366.SH,0.0009
603369.SH,0.0004
603555.SH,0.001
603766.SH,0.002
