trade_code,industry
000001.SZ,银行Ⅱ
000002.SZ,房地产开发Ⅱ
000004.SZ,生物制品Ⅱ
000005.SZ,房地产开发Ⅱ
000006.SZ,房地产开发Ⅱ
000007.SZ,餐饮Ⅱ
000008.SZ,酒店Ⅱ
000009.SZ,综合Ⅱ
000010.SZ,综合Ⅱ
000011.SZ,房地产开发Ⅱ
000012.SZ,玻璃制造Ⅱ
000014.SZ,房地产开发Ⅱ
000016.SZ,视听器材
000017.SZ,其他交运设备Ⅱ
000018.SZ,综合Ⅱ
000019.SZ,饮料制造
000020.SZ,电子制造Ⅱ
000021.SZ,计算机设备Ⅱ
000022.SZ,港口Ⅱ
000023.SZ,其他建材Ⅱ
000024.SZ,房地产开发Ⅱ
000025.SZ,汽车服务Ⅱ
000026.SZ,家用轻工
000027.SZ,电力
000028.SZ,医药商业Ⅱ
000029.SZ,房地产开发Ⅱ
000030.SZ,汽车零部件Ⅱ
000031.SZ,房地产开发Ⅱ
000032.SZ,通信设备
000033.SZ,酒店Ⅱ
000034.SZ,通信设备
000035.SZ,环保工程及服务Ⅱ
000036.SZ,房地产开发Ⅱ
000037.SZ,电力
000038.SZ,房地产开发Ⅱ
000039.SZ,金属制品Ⅱ
000040.SZ,房地产开发Ⅱ
000042.SZ,房地产开发Ⅱ
000043.SZ,房地产开发Ⅱ
000045.SZ,光学光电子
000046.SZ,房地产开发Ⅱ
000048.SZ,饲料Ⅱ
000049.SZ,电子制造Ⅱ
000050.SZ,光学光电子
000055.SZ,专业工程
000056.SZ,房地产开发Ⅱ
000058.SZ,商业物业经营
000059.SZ,石油化工
000060.SZ,工业金属
000061.SZ,商业物业经营
000062.SZ,商业物业经营
000063.SZ,通信设备
000065.SZ,专业工程
000066.SZ,计算机设备Ⅱ
000068.SZ,综合Ⅱ
000069.SZ,房地产开发Ⅱ
000070.SZ,通信设备
000078.SZ,生物制品Ⅱ
000088.SZ,港口Ⅱ
000089.SZ,机场Ⅱ
000090.SZ,房地产开发Ⅱ
000096.SZ,石油化工
000099.SZ,航空运输Ⅱ
000100.SZ,视听器材
000150.SZ,房地产开发Ⅱ
000151.SZ,贸易Ⅱ
000153.SZ,化学制药
000155.SZ,化学制品
000156.SZ,文化传媒
000157.SZ,专用设备
000158.SZ,纺织制造
000159.SZ,煤炭开采Ⅱ
000166.SZ,证券Ⅱ
000301.SZ,商业物业经营
000333.SZ,白色家电
000338.SZ,汽车零部件Ⅱ
000400.SZ,电气自动化设备
000401.SZ,水泥制造Ⅱ
000402.SZ,房地产开发Ⅱ
000403.SZ,生物制品Ⅱ
000404.SZ,白色家电
000407.SZ,化学制品
000408.SZ,贸易Ⅱ
000409.SZ,其他采掘Ⅱ
000410.SZ,通用机械
000411.SZ,医药商业Ⅱ
000413.SZ,光学光电子
000415.SZ,多元金融Ⅱ
000416.SZ,一般零售
000417.SZ,一般零售
000418.SZ,白色家电
000419.SZ,一般零售
000420.SZ,化学纤维
000421.SZ,综合Ⅱ
000422.SZ,化学制品
000423.SZ,中药Ⅱ
000425.SZ,专用设备
000426.SZ,工业金属
000428.SZ,酒店Ⅱ
000429.SZ,高速公路Ⅱ
000430.SZ,景点
000488.SZ,造纸Ⅱ
000498.SZ,基础建设
000501.SZ,一般零售
000502.SZ,房地产开发Ⅱ
000503.SZ,互联网传媒
000504.SZ,文化传媒
000505.SZ,房地产开发Ⅱ
000506.SZ,房地产开发Ⅱ
000507.SZ,港口Ⅱ
000509.SZ,其他建材Ⅱ
000510.SZ,化学原料
000511.SZ,金属非金属新材料
000513.SZ,化学制药
000514.SZ,房地产开发Ⅱ
000516.SZ,一般零售
000517.SZ,房地产开发Ⅱ
000518.SZ,生物制品Ⅱ
000519.SZ,通用机械
000520.SZ,航运Ⅱ
000521.SZ,白色家电
000523.SZ,化学制品
000524.SZ,酒店Ⅱ
000525.SZ,化学制品
000526.SZ,房地产开发Ⅱ
000528.SZ,专用设备
000529.SZ,综合Ⅱ
000530.SZ,通用机械
000531.SZ,电力
