"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value","position"
"2015-02-26",3e+07,0,3e+07,0,0,3e+07,NA,1,1
"2015-02-27",29886635.96027,-0.00377880132433339,5734841.96027,24151794,-21666466.8,29557271.96027,NA,0.996221198675667,1
"2015-03-02",29809686.56027,-0.00257470931496928,5298057.56027,24511629,-22103251.2,29327051.56027,NA,0.993656218675667,1
"2015-03-03",29597218.16027,-0.00712749527139189,5374147.16027,24223071,-22027161.6,29356228.16027,NA,0.986573938675667,1
"2015-03-04",29811198.16027,0.00722973351215961,5043793.16027,24767405,-22357515.6,29075533.16027,NA,0.993706605342333,1
"2015-03-05",29951039.96027,0.00469091511344799,5048951.96027,24902088,-22352356.8,29421898.96027,NA,0.998367998675667,1
"2015-03-06",29995225.16027,0.00147524760604689,5322415.16027,24672810,-22078893.6,29746808.16027,NA,0.999840838675667,1
"2015-03-09",29941748.16027,-0.00178285042750181,5037259.16027,24904489,-22364049.6,29140584.16027,NA,0.998058272009,1
"2015-03-10",30023123.76027,0.00271779722294152,4805962.76027,25217161,-22595346,29499587.76027,NA,1.000770792009,1
"2015-03-11",30110034.56027,0.00289479538151882,4854897.56027,25255137,-22546411.2,29672533.56027,NA,1.00366781867567,1
"2015-03-12",30140494.56027,0.00101162288402667,4864815.56027,25275679,-22536493.2,29666178.56027,NA,1.004683152009,1
"2015-03-13",30073956.16027,-0.0022076081023471,4614835.16027,25459121,-22786473.6,29633425.16027,NA,1.00246520534233,1
"2015-03-16",30046196.76027,-0.000923037855480757,3940954.76027,26105242,-23460354,29362342.76027,NA,1.001539892009,1
"2015-03-17",30296938.36027,0.00834520262250149,3576314.36027,26720624,-23824994.4,29494164.36027,NA,1.00989794534233,1
"2015-03-18",30378975.96027,0.00270778515718217,3180263.96027,27198712,-24221044.8,29680597.96027,NA,1.012632532009,1
"2015-03-19",30389016.96027,0.000330524636944052,2984441.96027,27404575,-24416866.8,29704986.96027,NA,1.012967232009,1
"2015-03-20",30646461.56027,0.00847163303559895,2738079.56027,27908382,-24663229.2,29874295.56027,NA,1.02154871867567,1
"2015-03-23",30961975.36027,0.0102952766465225,2139554.36027,28822421,-25261754.4,29895443.36027,NA,1.03206584534233,1
"2015-03-24",30665358.96027,-0.00958002183480233,2035265.96027,28630093,-25366042.8,20268697.96027,NA,1.022178632009,1
"2015-03-25",30875135.56027,0.00684083301525273,1751769.56027,29123366,-25649539.2,29884917.56027,NA,1.02917118534233,1
"2015-03-26",30787998.56027,-0.00282223862077935,1933335.56027,28854663,-25467973.2,30075898.56027,0.0301593863290011,1.02626661867567,1
"2015-03-27",30625728.87411,-0.00527055001130849,5739615.87411,24886113,-21467835,30058825.87411,NA,1.020857629137,1
"2015-03-30",30817535.87411,0.00626293665657518,5470959.87411,25346576,-21736491,30180340.87411,NA,1.02725119580367,1
"2015-03-31",30910437.87411,0.00301458235919649,5448138.87411,25462299,-21759312,30345799.87411,NA,1.030347929137,1
"2015-04-01",31048212.87411,0.00445723223207395,4930251.87411,26117961,-22277199,30173641.87411,NA,1.034940429137,1
"2015-04-02",31384213.87411,0.0108219111148964,4525506.87411,26858707,-22681944,30359046.87411,NA,1.04614046247033,1
"2015-04-03",31671209.87411,0.00914459738106599,4170420.87411,27500789,-23037030,30543280.87411,NA,1.05570699580367,1
"2015-04-07",31805113.87411,0.00422794078698785,3617598.87411,28187515,-23589852,30939518.87411,NA,1.06017046247033,1
"2015-04-08",31829771.87411,0.000775284128759823,3783459.87411,28046312,-23423991,30954427.87411,NA,1.06099239580367,1
"2015-04-09",31861149.87411,0.000985806625448227,3968997.87411,27892152,-23238453,30579333.87411,NA,1.062038329137,1
"2015-04-10",32007165.87411,0.004582885444403,3350883.87411,28656282,-23856567,30800341.87411,NA,1.066905529137,1
"2015-04-13",32207559.87411,0.00626091047199195,2838771.87411,29368788,-24368679,31326491.87411,NA,1.073585329137,1
"2015-04-14",32005406.87411,-0.00627656987335135,2847573.87411,29157833,-24359877,31402253.87411,NA,1.06684689580367,1
"2015-04-15",31779896.87411,-0.0070459969744181,3799209.87411,27980687,-23408241,31425056.87411,NA,1.05932989580367,1
"2015-04-16",32522424.87411,0.023364707662249,4084050.87411,28438374,-23123400,31111075.87411,NA,1.084080829137,1
"2015-04-17",32503049.87411,-0.000595742785939213,3932850.87411,28570199,-23274600,32026093.87411,NA,1.08343499580367,1
"2015-04-20",32283814.87411,-0.00674505933594338,4340850.87411,27942964,-22866600,31635351.87411,NA,1.07612716247033,1
"2015-04-21",31572480.87411,-0.0220337653023297,2786250.87411,28786230,-24421200,30435207.87411,NA,1.052416029137,1
"2015-04-22",32163509.87411,0.0187197516202997,2638050.87411,29525459,-24569400,31407900.87411,NA,1.07211699580367,1
"2015-04-23",32434174.87411,0.00841528182276741,2410650.87411,30023524,-24796800,31558125.87411,NA,1.08113916247033,1
"2015-04-24",32083010.87411,-0.0108269749843496,2225850.87410999,29857160,-24981600,31164625.87411,NA,1.06943369580367,1
"2015-04-27",32114866.87411,0.00099292426527553,2165850.87410999,29949016,-25041600,31523465.87411,NA,1.07049556247033,1
"2015-04-28",31953485.87411,-0.00502511813711104,2766450.87411,29187035,-24441000,31388149.87411,NA,1.06511619580367,1
"2015-04-29",32163574.87411,0.00657483821413751,2300850.87410999,29862724,-24906600,30879864.87411,NA,1.07211916247033,1
"2015-04-30",31920548.87411,-0.00755593869621796,2191050.87411,29729498,-25016400,31455438.87411,NA,1.06401829580367,1
"2015-05-04",31965099.87411,0.00139568402083867,2165850.87410999,29799249,-25041600,31215878.87411,NA,1.065503329137,1
"2015-05-05",31826919.87411,-0.00432283961396018,2772450.87411,29054469,-24435000,18705607.87411,NA,1.060897329137,1
"2015-05-06",31057129.87411,-0.0241867577209757,3085050.87411,27972079,-24122400,30739388.87411,NA,1.03523766247033,1
"2015-05-07",31062209.87411,0.000163569525600149,3473250.87411,27588959,-23734200,30480298.87411,NA,1.03540699580367,1
"2015-05-08",31346600.87411,0.00915553018129067,2693850.87411,28652750,-24513600,30334008.87411,NA,1.04488669580367,1
"2015-05-11",31732797.87411,0.0123202193931964,1738050.87411,29994747,-25469400,30415902.87411,NA,1.057759929137,1
