"trade_code","weight","open","datetime"
"000401.SZ",0.0736641650868088,14.81,2010-05-04
"000822.SZ",0.0275706922266729,7.25,2010-05-04
"000876.SZ",0.0275706922266729,10.74,2010-05-04
"000927.SZ",0.0213104342220585,7.44,2010-05-04
"000951.SZ",0.0265905869517879,23.48,2010-05-04
"002007.SZ",0.0896047497366869,70.03,2010-05-04
"002122.SZ",0.0275706922266729,11.6,2010-05-04
"600006.SH",0.0359711419416936,5.93,2010-05-04
"600066.SH",0.0472440479839931,18.47,2010-05-04
"600108.SH",0.0516950479250117,5.25,2010-05-04
"600418.SH",0.0480932883738408,8.32,2010-05-04
"600516.SH",0.0344633652833411,7.65,2010-05-04
"600517.SH",0.0448023748683435,15.65,2010-05-04
"600597.SH",0.0280206176531589,9.5,2010-05-04
"600737.SH",0.0516950479250117,14.7,2010-05-04
"600811.SH",0.0654803940383481,6.84,2010-05-04
"600881.SH",0.0986526613298969,7.3,2010-05-04
"IF.CFE",-0.72,3066.2,2010-05-04
"000027.SZ",0.0154561298051337,10.41,2010-06-01
"000031.SZ",0.0159759184672078,6.99,2010-06-01
"000046.SZ",0.0102270667742895,8.77,2010-06-01
"000089.SZ",0.00952671208709634,5.82,2010-06-01
"000631.SZ",0.00387122718766817,6.7,2010-06-01
"000686.SZ",0.0113652403405938,22,2010-06-01
"000690.SZ",0.0170139429553229,5.93,2010-06-01
"000717.SZ",0.0112231095533067,4.02,2010-06-01
"000729.SZ",0.0265705599678356,20.5,2010-06-01
"000778.SZ",0.018915228270109,7.24,2010-06-01
"000897.SZ",0.015411667886999,4.69,2010-06-01
"000932.SZ",0.0108807591200255,4.43,2010-06-01
"000959.SZ",0.0108369638613235,3.75,2010-06-01
"002028.SZ",0.0176808239078403,29.03,2010-06-01
"002242.SZ",0.00624029079100245,11.5,2010-06-01
"002244.SZ",0.00706688804986884,8.95,2010-06-01
"600004.SH",0.00919416028591102,9.14,2010-06-01
"600010.SH",0.0219997005601303,3.38,2010-06-01
"600011.SH",0.0338985072122791,6.12,2010-06-01
"600017.SH",0.0122695222317599,5.98,2010-06-01
"600018.SH",0.0314268369866088,4.36,2010-06-01
"600022.SH",0.009398638430707,3.67,2010-06-01
"600027.SH",0.0164312792998559,4.14,2010-06-01
"600109.SH",0.010575656669476,14.63,2010-06-01
"600176.SH",0.00811733792036168,17,2010-06-01
"600208.SH",0.0167050101268226,4.77,2010-06-01
"600236.SH",0.00824335310484114,4.62,2010-06-01
"600246.SH",0.00848035303611303,5.36,2010-06-01
"600266.SH",0.0111598160357316,11.61,2010-06-01
"600282.SH",0.00654080824117524,3.96,2010-06-01
"600307.SH",0.00791930025614858,8.7,2010-06-01
"600316.SH",0.013520630047172,33.3,2010-06-01
"600369.SH",0.0133698733364,12.79,2010-06-01
"600376.SH",0.00469430131903744,14.22,2010-06-01
"600426.SH",0.0112482876864957,14.77,2010-06-01
"600500.SH",0.0180761191391574,10.65,2010-06-01
"600569.SH",0.00951293479400711,3.81,2010-06-01
"600600.SH",0.023677083326271,34.3,2010-06-01
"600638.SH",0.0108106313787611,9.6,2010-06-01
"600642.SH",0.0299108639019293,8.86,2010-06-01
"600649.SH",0.0247685248785954,9,2010-06-01
"600657.SH",0.00748212464165396,6.7,2010-06-01
"600674.SH",0.0111381368520229,14.03,2010-06-01
"600694.SH",0.0295289908161113,42.98,2010-06-01
"600717.SH",0.0218266940871571,8.65,2010-06-01
"600748.SH",0.00763804209841338,8.01,2010-06-01
"600779.SH",0.0154965148113013,19.62,2010-06-01
"600782.SH",0.005130721333063,5.72,2010-06-01
"600808.SH",0.0186879421910554,3.45,2010-06-01
"600809.SH",0.0132995252472898,40.9,2010-06-01
"600859.SH",0.0193532870467413,36.16,2010-06-01
"600886.SH",0.0107257868820393,7.66,2010-06-01
"601099.SH",0.00837126519054742,12.17,2010-06-01
"601333.SH",0.0249611631640098,3.72,2010-06-01
"601588.SH",0.0139985251107529,4.01,2010-06-01
"601991.SH",0.01214922129647,7.18,2010-06-01
"IF.CFE",-0.72,2791,2010-06-01
"000031.SZ",0.0128334143968432,6.9,2010-07-01
"000046.SZ",0.00802020661582989,8,2010-07-01
"000059.SZ",0.0114491650063121,7.75,2010-07-01
"000089.SZ",0.00763889463689435,5.26,2010-07-01
"000488.SZ",0.011248363714031,6.45,2010-07-01
"000631.SZ",0.00292670404179881,6.15,2010-07-01
"000652.SZ",0.0152196424985569,7.13,2010-07-01
"000717.SZ",0.00884903480514349,3.56,2010-07-01
"000729.SZ",0.0201028131522569,19.8,2010-07-01
"000768.SZ",0.0241005799477208,9.79,2010-07-01
"000778.SZ",0.0142290867527786,6.27,2010-07-01
"000780.SZ",0.0070954055445933,8.41,2010-07-01
"000793.SZ",0.00803454551002215,5.08,2010-07-01
"000807.SZ",0.00816722647644894,7.83,2010-07-01
"000825.SZ",0.0236537380142647,5.07,2010-07-01
"000876.SZ",0.00642763640801772,8.52,2010-07-01
"000897.SZ",0.0114017887650028,4.02,2010-07-01
"000900.SZ",0.0087052592454608,16.77,2010-07-01
"000932.SZ",0.00790923487740874,3.77,2010-07-01
"000951.SZ",0.00534807342948168,17.1,2010-07-01
"000959.SZ",0.00815458652113032,3.11,2010-07-01
"000968.SZ",0.00750810188109833,13.68,2010-07-01
"002122.SZ",0.00642763640801772,9.02,2010-07-01
"002128.SZ",0.0100181062429041,17,2010-07-01
"002244.SZ",0.00555949280807732,8.16,2010-07-01
"600004.SH",0.00762674183214773,8.8,2010-07-01
"600006.SH",0.00758473692242925,4.45,2010-07-01
"600008.SH",0.00962939782009434,5.45,2010-07-01
"600010.SH",0.0173500666264795,2.96,2010-07-01
"600022.SH",0.0077363702571442,3.6,2010-07-01
"600033.SH",0.00967141584607875,3.89,2010-07-01
"600066.SH",0.0103673716271533,14.92,2010-07-01
"600176.SH",0.00595326482954062,15.92,2010-07-01
"600208.SH",0.0133244957335458,4.77,2010-07-01
"600210.SH",0.011248363714031,5.23,2010-07-01
"600219.SH",0.0124560397487372,7.8,2010-07-01
"600246.SH",0.00679300941405786,5.15,2010-07-01
"600251.SH",0.00562689466156127,15.16,2010-07-01
