month,freq,excess,industry
1,10,0.063523355,汽车服务Ⅱ
1,9,0.031438659,化学原料
1,9,0.043268846,仪器仪表Ⅱ
1,9,0.06934333,计算机设备Ⅱ
1,9,0.033844919,综合Ⅱ
1,8,0.084735995,动物保健Ⅱ
1,8,0.031770056,钢铁Ⅱ
1,8,0.07886807,元件Ⅱ
1,8,0.068708059,通信设备
1,8,0.028548971,造纸Ⅱ
1,8,0.049040738,专业零售
1,8,0.051610956,酒店Ⅱ
1,8,0.10493532,通信运营Ⅱ
1,8,0.054565037,玻璃制造Ⅱ
1,8,0.069407118,电气自动化设备
1,8,0.048133233,电源设备
1,8,0.052301508,文化传媒
1,7,0.096461304,石油开采Ⅱ
1,7,0.0440463,化学制品
1,7,0.07507154,金属非金属新材料
1,7,0.184195076,运输设备Ⅱ
1,7,0.017148047,其他电子Ⅱ
1,7,0.054864573,视听器材
1,7,0.087438061,食品加工
1,7,0.022966124,服装家纺
1,7,0.048280398,医疗器械Ⅱ
1,7,0.042418909,公交Ⅱ
1,7,0.071800938,机场Ⅱ
1,7,0.03864041,航运Ⅱ
1,7,0.045906321,园区开发Ⅱ
1,7,0.098800273,证券Ⅱ
1,7,0.032193865,餐饮Ⅱ
1,7,0.12447111,计算机应用
1,7,0.103199667,地面兵装Ⅱ
1,6,0.024319493,林业Ⅱ
1,6,0.083735443,饲料Ⅱ
1,6,0.096036435,种植业
1,6,0.042786606,化学纤维
1,6,0.032708236,塑料Ⅱ
1,6,0.045782682,橡胶
1,6,0.073014368,稀有金属
1,6,0.046848344,通用机械
1,6,0.077148676,半导体
1,6,0.07247523,光学光电子
1,6,0.056902007,汽车零部件Ⅱ
1,6,0.03850571,汽车整车
1,6,0.019886954,家用轻工
1,6,0.059832179,医药商业Ⅱ
1,6,0.035837498,中药Ⅱ
1,6,0.032040567,水务Ⅱ
1,6,0.066091774,航空运输Ⅱ
1,6,0.037729811,高速公路Ⅱ
1,6,0.031824124,银行Ⅱ
1,6,0.027226943,贸易Ⅱ
1,6,0.038150942,一般零售
1,6,0.064340716,景点
1,6,0.017580086,水泥制造Ⅱ
1,6,0.047192291,其他建材Ⅱ
1,6,0.067864121,电机Ⅱ
1,6,0.04751924,航空装备Ⅱ
1,6,0.216737909,互联网传媒
1,5,0.051719191,畜禽养殖Ⅱ
1,5,0.068555381,煤炭开采Ⅱ
1,5,0.154591559,其他采掘Ⅱ
1,5,0.086080334,工业金属
1,5,0.045760812,专用设备
1,5,0.074090158,电子制造Ⅱ
1,5,0.029160101,纺织制造
1,5,0.030354564,化学制药
1,5,0.045472844,生物制品Ⅱ
1,5,0.013184339,电力
1,5,0.043288894,环保工程及服务Ⅱ
1,5,0.048209022,港口Ⅱ
1,5,0.043756752,铁路运输Ⅱ
1,5,0.039717226,物流Ⅱ
1,5,0.038738776,房地产开发Ⅱ
1,5,0.083587177,旅游综合Ⅱ
1,4,0.076748341,农产品加工
1,4,0.113517811,农业综合Ⅱ
1,4,0.05865652,白色家电
1,4,0.036117098,包装印刷Ⅱ
1,4,0.086475008,多元金融Ⅱ
1,4,0.034703533,其他交运设备Ⅱ
1,3,0.100955609,渔业
1,3,0.031713978,石油化工
1,3,0.038088891,饮料制造
1,3,0.041829883,高低压设备
2,11,0.042744078,化学纤维
2,11,0.032967893,贸易Ⅱ
2,11,0.04606586,其他交运设备Ⅱ
2,10,0.040347079,农产品加工
2,10,0.04217435,物流Ⅱ
2,10,0.038520171,水泥制造Ⅱ
2,10,0.079955404,地面兵装Ⅱ
2,9,0.059139371,农业综合Ⅱ
2,9,0.048929978,畜禽养殖Ⅱ
2,9,0.047852967,其他采掘Ⅱ
2,9,0.048673017,化学原料
2,9,0.063080505,橡胶
2,9,0.055100764,工业金属
2,9,0.044066916,仪器仪表Ⅱ
2,9,0.03178569,汽车零部件Ⅱ
2,9,0.061597933,环保工程及服务Ⅱ
2,9,0.027264374,景点
2,9,0.047767916,综合Ⅱ
2,8,0.107564992,饲料Ⅱ
2,8,0.022456402,渔业
2,8,0.023184957,钢铁Ⅱ
2,8,0.04734834,金属非金属新材料
2,8,0.059528424,运输设备Ⅱ
2,8,0.047880373,汽车服务Ⅱ
2,8,0.05894565,汽车整车
2,8,0.051304155,视听器材
2,8,0.037979674,公交Ⅱ
2,8,0.02520057,房地产开发Ⅱ
2,8,0.050073114,玻璃制造Ⅱ
2,7,0.040011021,塑料Ⅱ
2,7,0.053809265,稀有金属
2,7,0.031454331,通用机械
2,7,0.062249242,光学光电子
2,7,0.035663804,电子制造Ⅱ
2,7,0.052487175,白色家电
2,7,0.039410416,服装家纺
2,7,0.03189815,造纸Ⅱ
2,7,0.031519817,生物制品Ⅱ
2,7,0.021441534,电力
2,7,0.052683782,多元金融Ⅱ
2,7,0.058379718,电机Ⅱ
2,7,0.030757569,高低压设备
2,7,0.053307195,航空装备Ⅱ
2,7,0.147922583,互联网传媒
2,6,0.023068952,林业Ⅱ
2,6,0.093098939,种植业
2,6,0.021886739,动物保健Ⅱ
2,6,0.039041955,化学制品
2,6,0.025938135,石油化工
2,6,0.021795978,专用设备
2,6,0.051459344,半导体
2,6,0.044771551,元件Ⅱ
2,6,0.03379115,计算机设备Ⅱ
2,6,0.044057342,通信设备
2,6,0.057067367,纺织制造
2,6,0.062298482,包装印刷Ⅱ
2,6,0.017619994,家用轻工
2,6,0.02166664,化学制药
2,6,0.047799021,医疗器械Ⅱ
2,6,0.046324727,医药商业Ⅱ
2,6,0.042105451,高速公路Ⅱ
2,6,0.014949819,航运Ⅱ
2,6,0.041763693,铁路运输Ⅱ
2,6,0.020138393,一般零售
2,6,0.034755136,专业零售
2,6,0.044036532,餐饮Ⅱ
2,6,0.062841603,酒店Ⅱ
2,6,0.044770635,旅游综合Ⅱ
2,6,0.077618857,其他建材Ⅱ
2,6,0.048445575,电源设备
2,5,0.037277004,煤炭开采Ⅱ
2,5,0.036357738,其他电子Ⅱ
2,5,0.023159974,食品加工
2,5,0.030891015,港口Ⅱ
2,5,0.028625427,园区开发Ⅱ
2,5,0.036782437,计算机应用
2,5,0.022970391,电气自动化设备
2,4,0.07759965,石油开采Ⅱ
2,4,0.027744951,饮料制造
2,4,0.031749606,中药Ⅱ
2,4,0.059211916,水务Ⅱ
2,4,0.020476362,机场Ⅱ
2,4,0.01224346,文化传媒
2,3,0.037681227,证券Ⅱ
2,2,0.063077912,航空运输Ⅱ
2,2,0.016578034,银行Ⅱ
2,2,0.261745619,通信运营Ⅱ
3,10,0.037974612,酒店Ⅱ
3,9,0.049669872,煤炭开采Ⅱ
3,8,0.030708061,农产品加工
3,8,0.028810423,化学制品
3,8,0.038311665,金属非金属新材料
3,8,0.046437685,仪器仪表Ⅱ
3,8,0.106310586,电子制造Ⅱ
3,8,0.05920442,汽车服务Ⅱ
3,8,0.053804243,纺织制造
3,8,0.050517941,包装印刷Ⅱ
3,8,0.043929234,铁路运输Ⅱ
3,8,0.056320081,物流Ⅱ
3,8,0.062205061,房地产开发Ⅱ
3,8,0.123135512,玻璃制造Ⅱ
3,8,0.031344941,航空装备Ⅱ
3,7,0.047276484,塑料Ⅱ
3,7,0.04908765,橡胶
3,7,0.084112668,稀有金属
3,7,0.026134743,专用设备
3,7,0.018130383,家用轻工
3,7,0.050901873,园区开发Ⅱ
3,7,0.048950279,银行Ⅱ
3,7,0.033588752,贸易Ⅱ
3,7,0.055167863,景点
3,7,0.039898962,旅游综合Ⅱ
3,6,0.040085387,畜禽养殖Ⅱ
3,6,0.046975494,化学纤维
3,6,0.018604991,石油化工
3,6,0.080504704,工业金属
3,6,0.013852276,通用机械
3,6,0.046631661,光学光电子
3,6,0.019676394,白色家电
3,6,0.026811887,饮料制造
3,6,0.044240533,服装家纺
3,6,0.029119857,造纸Ⅱ
3,6,0.019790421,化学制药
3,6,0.0202029,水务Ⅱ
3,6,0.093928251,港口Ⅱ
3,6,0.049930075,航空运输Ⅱ
3,6,0.076655523,多元金融Ⅱ
3,6,0.065420538,证券Ⅱ
3,6,0.031476521,餐饮Ⅱ
3,6,0.027590316,水泥制造Ⅱ
3,6,0.054005977,互联网传媒
3,5,0.021393949,林业Ⅱ
3,5,0.113424527,其他采掘Ⅱ
3,5,0.045073544,化学原料
3,5,0.051650071,其他电子Ⅱ
3,5,0.041084523,元件Ⅱ
3,5,0.054578503,汽车零部件Ⅱ
3,5,0.038028308,计算机设备Ⅱ
3,5,0.032994065,医疗器械Ⅱ
3,5,0.019476722,电力
3,5,0.036615749,环保工程及服务Ⅱ
3,5,0.054137824,公交Ⅱ
3,5,0.062946778,航运Ⅱ
3,5,0.028214002,一般零售
3,5,0.055556866,专业零售
3,5,0.091130242,其他建材Ⅱ
3,5,0.061896877,电机Ⅱ
3,5,0.074786644,电气自动化设备
3,5,0.03749773,电源设备
3,5,0.071685421,高低压设备
3,5,0.013659732,文化传媒
3,5,0.098060513,其他交运设备Ⅱ
3,4,0.085420468,饲料Ⅱ
3,4,0.028330462,渔业
3,4,0.032806453,钢铁Ⅱ
3,4,0.073564227,半导体
3,4,0.047618557,汽车整车
3,4,0.008116637,生物制品Ⅱ
3,4,0.029256027,医药商业Ⅱ
3,4,0.052900212,高速公路Ⅱ
3,4,0.059147615,综合Ⅱ
3,4,0.1181017,地面兵装Ⅱ
3,3,0.009996441,农业综合Ⅱ
3,3,0.043067156,种植业
3,3,0.032609757,石油开采Ⅱ
3,3,0.031379721,通信设备
3,3,0.026540713,视听器材
3,3,0.036896676,食品加工
3,3,0.019158219,中药Ⅱ
3,3,0.087453247,机场Ⅱ
3,3,0.015639507,计算机应用
3,2,0.022732935,动物保健Ⅱ
3,2,0.048759761,运输设备Ⅱ
3,1,0.041233545,通信运营Ⅱ
4,9,0.04258913,动物保健Ⅱ
4,9,0.018091686,石油化工
4,9,0.047214127,化学制药
4,9,0.05986874,中药Ⅱ
4,9,0.040122685,一般零售
4,9,0.041017073,专业零售
4,9,0.075659143,通信运营Ⅱ
4,8,0.074134361,煤炭开采Ⅱ
4,8,0.016675484,化学原料
4,8,0.029224556,汽车零部件Ⅱ
4,8,0.053173422,电力
4,8,0.036200884,文化传媒
4,7,0.058004207,医药商业Ⅱ
4,7,0.125742775,公交Ⅱ
4,7,0.069669273,航运Ⅱ
4,7,0.053080108,电机Ⅱ
4,6,0.082341485,农业综合Ⅱ
4,6,0.077382202,饲料Ⅱ
4,6,0.017612694,通用机械
4,6,0.051691398,其他电子Ⅱ
4,6,0.035451356,元件Ⅱ
4,6,0.10096458,电子制造Ⅱ
4,6,0.075642684,汽车服务Ⅱ
4,6,0.058485259,汽车整车
4,6,0.053494786,计算机设备Ⅱ
4,6,0.050881296,视听器材
4,6,0.048878452,饮料制造
4,6,0.054183048,食品加工
4,6,0.026583295,造纸Ⅱ
4,6,0.041047286,生物制品Ⅱ
4,6,0.040644931,医疗器械Ⅱ
4,6,0.065468376,铁路运输Ⅱ
4,6,0.079384451,银行Ⅱ
4,6,0.183851955,证券Ⅱ
4,6,0.073110609,贸易Ⅱ
4,6,0.04938908,电源设备
4,5,0.035019365,渔业
4,5,0.029978856,石油开采Ⅱ
4,5,0.031313887,塑料Ⅱ
4,5,0.077749703,橡胶
4,5,0.044698948,钢铁Ⅱ
4,5,0.071464547,稀有金属
4,5,0.080851978,工业金属
4,5,0.027288377,仪器仪表Ⅱ
4,5,0.025099974,专用设备
4,5,0.064718319,白色家电
4,5,0.033144012,港口Ⅱ
4,5,0.075243311,航空运输Ⅱ
4,5,0.058415945,机场Ⅱ
4,5,0.086792838,物流Ⅱ
4,5,0.179542932,多元金融Ⅱ
4,5,0.03926831,餐饮Ⅱ
4,5,0.032736499,计算机应用
4,5,0.095129472,水泥制造Ⅱ
4,5,0.061498631,玻璃制造Ⅱ
4,5,0.076870506,电气自动化设备
4,5,0.040687432,高低压设备
4,5,0.029028483,航空装备Ⅱ
4,5,0.034288282,互联网传媒
4,5,0.078622915,其他交运设备Ⅱ
4,4,0.04042246,林业Ⅱ
4,4,0.031375485,化学制品
4,4,0.075410987,金属非金属新材料
4,4,0.009657484,运输设备Ⅱ
4,4,0.043518701,光学光电子
4,4,0.07553644,纺织制造
4,4,0.081680925,服装家纺
4,4,0.027397149,包装印刷Ⅱ
4,4,0.015766698,家用轻工
4,4,0.062101777,环保工程及服务Ⅱ
4,4,0.044640578,高速公路Ⅱ
4,4,0.012671862,房地产开发Ⅱ
4,4,0.044782093,园区开发Ⅱ
4,4,0.086547059,景点
4,4,0.028059731,酒店Ⅱ
4,3,0.057139565,农产品加工
4,3,0.091597005,种植业
4,3,0.062324385,畜禽养殖Ⅱ
4,3,0.099071749,其他采掘Ⅱ
4,3,0.082752946,化学纤维
4,3,0.082958707,水务Ⅱ
4,3,0.027747222,旅游综合Ⅱ
4,3,0.086391039,综合Ⅱ
4,3,0.037823301,其他建材Ⅱ
4,2,0.038700223,通信设备
4,2,0.007391232,地面兵装Ⅱ
4,1,0.028589001,半导体
5,10,0.045853688,仪器仪表Ⅱ
5,9,0.057945875,畜禽养殖Ⅱ
5,9,0.050495136,动物保健Ⅱ
5,9,0.020735559,化学原料
5,8,0.0431485,饲料Ⅱ
