trade_code,weight
000402.SZ,0.043483629
000792.SZ,0.032187129
000937.SZ,0.010775667
000960.SZ,0.027120824
000983.SZ,0.021491762
002146.SZ,0.018519072
002470.SZ,0.014754005
002475.SZ,0.017530371
600038.SH,0.021657615
600058.SH,0.012348466
600143.SH,0.019538713
600153.SH,0.03141825
600188.SH,0.00930981
600309.SH,0.048240553
600315.SH,0.038150489
600340.SH,0.040053794
600348.SH,0.016858193
600372.SH,0.022958749
600383.SH,0.080994566
600395.SH,0.010651626
600549.SH,0.021753885
600648.SH,0.016928963
600663.SH,0.025274656
600893.SH,0.032913248
601225.SH,0.021018467
601231.SH,0.007166562
601258.SH,0.015318351
601333.SH,0.026885269
601699.SH,0.017409679
601888.SH,0.035482302
601898.SH,0.018933893
601958.SH,0.01701593
603993.SH,0.005855513
IF.CFE,-0.72
