trade_code,weight,industry
000027.SZ,0.024716412,电力
000156.SZ,0.010519015,文化传媒
000883.SZ,0.034773598,电力
000937.SZ,0.015836978,煤炭开采Ⅱ
000963.SZ,0.032322338,医药商业Ⅱ
000983.SZ,0.031223622,煤炭开采Ⅱ
000999.SZ,0.024796669,中药Ⅱ
002001.SZ,0.018727433,化学制药
002292.SZ,0.015789211,文化传媒
002294.SZ,0.018253625,化学制药
002399.SZ,0.015230197,化学制药
002416.SZ,0.006462242,专业零售
002422.SZ,0.02801765,化学制药
002603.SZ,0.015302147,中药Ⅱ
002653.SZ,0.018193887,化学制药
600023.SH,0.016491638,电力
600079.SH,0.034942225,化学制药
600085.SH,0.043077573,中药Ⅱ
600157.SH,0.027573747,煤炭开采Ⅱ
600188.SH,0.013587237,煤炭开采Ⅱ
600267.SH,0.020966868,化学制药
600276.SH,0.083436545,化学制药
600348.SH,0.024777488,煤炭开采Ⅱ
600373.SH,0.01527896,文化传媒
600395.SH,0.016130455,煤炭开采Ⅱ
600436.SH,0.020569882,中药Ⅱ
600535.SH,0.068934711,中药Ⅱ
600578.SH,0.020684305,电力
600655.SH,0.029845042,专业零售
600674.SH,0.058082774,电力
600741.SH,0.04936905,汽车零部件Ⅱ
600827.SH,0.033207881,一般零售
601098.SH,0.026599663,文化传媒
601225.SH,0.03261205,煤炭开采Ⅱ
601699.SH,0.025958624,煤炭开采Ⅱ
601898.SH,0.027708256,煤炭开采Ⅱ
