trade_code,weight
000027.SZ,0.028905524
000156.SZ,0.012301852
000937.SZ,0.018521141
000963.SZ,0.037800556
000983.SZ,0.036515622
000999.SZ,0.028999384
002001.SZ,0.021901491
002292.SZ,0.018465278
002294.SZ,0.021347379
002399.SZ,0.017811518
002416.SZ,0.007557508
002422.SZ,0.03276628
002603.SZ,0.017895664
002653.SZ,0.021277516
600023.SH,0.019286757
600079.SH,0.04086448
600085.SH,0.050378664
600188.SH,0.015890098
600267.SH,0.024520481
600276.SH,0.09757796
600348.SH,0.028976952
600373.SH,0.017868546
600395.SH,0.018864359
600436.SH,0.024056211
600535.SH,0.080618253
600578.SH,0.024190027
600655.SH,0.034903391
600674.SH,0.067927053
601098.SH,0.031107962
601225.SH,0.038139371
601699.SH,0.030358275
601898.SH,0.032404447
