"datetime","trade_code"
2015-04-07,"000005.SZ"
2015-04-07,"000008.SZ"
2015-04-07,"000010.SZ"
2015-04-07,"000012.SZ"
2015-04-07,"000024.SZ"
2015-04-07,"000033.SZ"
2015-04-07,"000034.SZ"
2015-04-07,"000038.SZ"
2015-04-07,"000062.SZ"
2015-04-07,"000068.SZ"
2015-04-07,"000070.SZ"
2015-04-07,"000403.SZ"
2015-04-07,"000410.SZ"
2015-04-07,"000411.SZ"
2015-04-07,"000415.SZ"
2015-04-07,"000502.SZ"
2015-04-07,"000503.SZ"
2015-04-07,"000506.SZ"
2015-04-07,"000510.SZ"
2015-04-07,"000518.SZ"
2015-04-07,"000526.SZ"
2015-04-07,"000540.SZ"
2015-04-07,"000555.SZ"
2015-04-07,"000564.SZ"
2015-04-07,"000584.SZ"
2015-04-07,"000587.SZ"
2015-04-07,"000591.SZ"
2015-04-07,"000593.SZ"
2015-04-07,"000595.SZ"
2015-04-07,"000605.SZ"
2015-04-07,"000607.SZ"
2015-04-07,"000611.SZ"
2015-04-07,"000616.SZ"
2015-04-07,"000625.SZ"
2015-04-07,"000626.SZ"
2015-04-07,"000630.SZ"
2015-04-07,"000633.SZ"
2015-04-07,"000636.SZ"
2015-04-07,"000663.SZ"
2015-04-07,"000671.SZ"
2015-04-07,"000676.SZ"
2015-04-07,"000677.SZ"
2015-04-07,"000687.SZ"
2015-04-07,"000692.SZ"
2015-04-07,"000715.SZ"
2015-04-07,"000719.SZ"
2015-04-07,"000739.SZ"
2015-04-07,"000755.SZ"
2015-04-07,"000766.SZ"
2015-04-07,"000796.SZ"
2015-04-07,"000820.SZ"
2015-04-07,"000826.SZ"
2015-04-07,"000860.SZ"
2015-04-07,"000863.SZ"
2015-04-07,"000883.SZ"
2015-04-07,"000887.SZ"
2015-04-07,"000889.SZ"
2015-04-07,"000912.SZ"
2015-04-07,"000938.SZ"
2015-04-07,"000939.SZ"
2015-04-07,"000968.SZ"
2015-04-07,"000969.SZ"
2015-04-07,"000971.SZ"
2015-04-07,"000978.SZ"
2015-04-07,"000982.SZ"
2015-04-07,"000989.SZ"
2015-04-07,"000990.SZ"
2015-04-07,"000995.SZ"
2015-04-07,"000996.SZ"
2015-04-07,"002010.SZ"
2015-04-07,"002011.SZ"
2015-04-07,"002015.SZ"
2015-04-07,"002021.SZ"
2015-04-07,"002036.SZ"
2015-04-07,"002037.SZ"
2015-04-07,"002042.SZ"
2015-04-07,"002047.SZ"
2015-04-07,"002049.SZ"
2015-04-07,"002057.SZ"
2015-04-07,"002076.SZ"
2015-04-07,"002089.SZ"
2015-04-07,"002104.SZ"
2015-04-07,"002106.SZ"
2015-04-07,"002110.SZ"
2015-04-07,"002114.SZ"
2015-04-07,"002119.SZ"
2015-04-07,"002125.SZ"
2015-04-07,"002127.SZ"
2015-04-07,"002131.SZ"
2015-04-07,"002137.SZ"
2015-04-07,"002159.SZ"
