证券代码,证券名称,目标数量,目标权重
601258.SH,庞大集团,0,0
002456.SZ,欧菲光,0,0
002422.SZ,科伦药业,0,0
601688.SH,华泰证券,0,0
601888.SH,中国国旅,0,0
002202.SZ,金风科技,0,0
601866.SH,中海集运,0,0
002129.SZ,中环股份,0,0
601318.SH,中国平安,0,0
601166.SH,兴业银行,0,0
002001.SZ,新和成,0,0
002008.SZ,大族激光,0,0
600050.SH,中国联通,0,0
600415.SH,小商品城,0,0
600373.SH,中文传媒,0,0
600362.SH,江西铜业,0,0
600011.SH,华能国际,0,0
600028.SH,中国石化,0,0
600518.SH,康美药业,0,0
600315.SH,上海家化,0,0
600038.SH,中直股份,0,0
600019.SH,宝钢股份,0,0
000917.SZ,电广传媒,0,0
000876.SZ,新希望,0,0
000898.SZ,鞍钢股份,0,0
600104.SH,上汽集团,0,0
000063.SZ,中兴通讯,0,0
600100.SH,同方股份,0,0
600089.SH,特变电工,0,0
600060.SH,海信电器,0,0
000709.SZ,河北钢铁,0,0
000623.SZ,吉林敖东,0,0
000413.SZ,东旭光电,0,0
600741.SH,华域汽车,0,0
000598.SZ,兴蓉投资,0,0
600705.SH,中航资本,0,0
600893.SH,中航动力,0,0
601607.SH,上海医药,0,0
600660.SH,福耀玻璃,0,0
600642.SH,申能股份,0,0
