trade_code,weight,open,datetime,
000401.SZ,7.4113%,14.8,5/5/2010,股票
000822.SZ,2.7195%,7.25,5/5/2010,股票
000876.SZ,2.7195%,10.87,5/5/2010,股票
000927.SZ,2.1020%,7.38,5/5/2010,股票
000951.SZ,2.6228%,22.97,5/5/2010,股票
002007.SZ,9.1782%,73.11,5/5/2010,股票
002122.SZ,2.7195%,11.54,5/5/2010,股票
600006.SH,3.5481%,5.85,5/5/2010,股票
600066.SH,4.6600%,18.38,5/5/2010,股票
600108.SH,5.0990%,5.3,5/5/2010,股票
600418.SH,4.7438%,8.04,5/5/2010,股票
600516.SH,3.3994%,7.51,5/5/2010,股票
600517.SH,4.4192%,16.5,5/5/2010,股票
600597.SH,2.8347%,9.8,5/5/2010,股票
600737.SH,5.4390%,15.19,5/5/2010,股票
600811.SH,6.4588%,6.85,5/5/2010,股票
600881.SH,9.9254%,7.28,5/5/2010,股票
IF.CFE,-80.0000%,3046.4,5/5/2010,期货
000027.SZ,1.5311%,10.17,6/2/2010,股票
000031.SZ,1.5838%,6.8,6/2/2010,股票
000046.SZ,1.0139%,8.7,6/2/2010,股票
000089.SZ,0.9501%,5.75,6/2/2010,股票
000631.SZ,0.3838%,6.55,6/2/2010,股票
000686.SZ,1.1334%,21.8,6/2/2010,股票
000690.SZ,1.6854%,5.86,6/2/2010,股票
000717.SZ,1.1104%,4,6/2/2010,股票
000729.SZ,2.6847%,20.8,6/2/2010,股票
000778.SZ,1.8714%,7.08,6/2/2010,股票
000897.SZ,1.5278%,4.57,6/2/2010,股票
000932.SZ,1.0765%,4.35,6/2/2010,股票
000959.SZ,1.0722%,3.72,6/2/2010,股票
002028.SZ,1.8670%,29.64,6/2/2010,股票
002242.SZ,0.6223%,11.3,6/2/2010,股票
002244.SZ,0.7006%,8.8,6/2/2010,股票
600004.SH,0.9169%,9,6/2/2010,股票
600010.SH,2.1766%,3.34,6/2/2010,股票
600011.SH,3.3580%,6.15,6/2/2010,股票
600017.SH,1.2430%,5.87,6/2/2010,股票
600018.SH,3.1839%,4.4,6/2/2010,股票
600022.SH,0.9299%,3.64,6/2/2010,股票
600027.SH,1.6277%,4.12,6/2/2010,股票
600109.SH,1.0547%,14.28,6/2/2010,股票
600176.SH,0.8545%,16.72,6/2/2010,股票
600208.SH,1.6560%,4.63,6/2/2010,股票
600236.SH,0.8166%,4.58,6/2/2010,股票
600246.SH,0.8407%,5.45,6/2/2010,股票
600266.SH,1.1063%,11.48,6/2/2010,股票
600282.SH,0.6471%,3.91,6/2/2010,股票
600307.SH,0.7835%,8.76,6/2/2010,股票
600316.SH,1.3484%,32.68,6/2/2010,股票
600369.SH,1.3334%,12.8,6/2/2010,股票
600376.SH,0.4654%,14.2,6/2/2010,股票
600426.SH,1.1841%,14.79,6/2/2010,股票
600500.SH,1.9029%,10.75,6/2/2010,股票
600569.SH,0.9412%,3.75,6/2/2010,股票
600600.SH,2.3923%,34.94,6/2/2010,股票
600638.SH,1.0717%,9.36,6/2/2010,股票
600642.SH,2.9629%,8.5,6/2/2010,股票
600649.SH,2.4554%,8.95,6/2/2010,股票
600657.SH,0.7417%,6.67,6/2/2010,股票
600674.SH,1.1033%,13.11,6/2/2010,股票
600694.SH,2.9449%,43.3,6/2/2010,股票
600717.SH,2.2113%,8.59,6/2/2010,股票
600748.SH,0.7572%,7.91,6/2/2010,股票
600779.SH,1.5658%,19.35,6/2/2010,股票
600782.SH,0.5076%,5.54,6/2/2010,股票
600808.SH,1.8489%,3.42,6/2/2010,股票
600809.SH,1.3438%,40.12,6/2/2010,股票
600859.SH,1.9301%,34.02,6/2/2010,股票
600886.SH,1.0625%,7.48,6/2/2010,股票
601099.SH,0.8349%,11.91,6/2/2010,股票
601333.SH,2.4893%,3.7,6/2/2010,股票
601588.SH,1.3877%,4,6/2/2010,股票
601991.SH,1.2035%,7.12,6/2/2010,股票
IF.CFE,-80.0000%,2758,6/2/2010,期货
000031.SZ,1.2680%,6.95,7/2/2010,股票
000046.SZ,0.7924%,8,7/2/2010,股票
000059.SZ,1.1401%,7.46,7/2/2010,股票
000089.SZ,0.7206%,5.25,7/2/2010,股票
000488.SZ,1.1201%,6.4,7/2/2010,股票
000631.SZ,0.2892%,6.09,7/2/2010,股票
000652.SZ,1.4735%,6.81,7/2/2010,股票
000717.SZ,0.8508%,3.58,7/2/2010,股票
000729.SZ,2.1981%,19.15,7/2/2010,股票
000768.SZ,2.3441%,9.48,7/2/2010,股票
000778.SZ,1.3681%,6.13,7/2/2010,股票
000780.SZ,0.7185%,8.26,7/2/2010,股票
000807.SZ,0.7700%,7.59,7/2/2010,股票
