trade_code,weight,open,datetime,
000401.SZ,7.3664%,14.81,2010-05-04,股票
000822.SZ,2.7571%,7.25,2010-05-04,股票
000876.SZ,2.7571%,10.74,2010-05-04,股票
000927.SZ,2.1310%,7.44,2010-05-04,股票
000951.SZ,2.6591%,23.48,2010-05-04,股票
002007.SZ,8.9605%,70.03,2010-05-04,股票
002122.SZ,2.7571%,11.6,2010-05-04,股票
600006.SH,3.5971%,5.93,2010-05-04,股票
600066.SH,4.7244%,18.47,2010-05-04,股票
600108.SH,5.1695%,5.25,2010-05-04,股票
600418.SH,4.8093%,8.32,2010-05-04,股票
600516.SH,3.4463%,7.65,2010-05-04,股票
600517.SH,4.4802%,15.65,2010-05-04,股票
600597.SH,2.8021%,9.5,2010-05-04,股票
600737.SH,5.1695%,14.7,2010-05-04,股票
600811.SH,6.5480%,6.84,2010-05-04,股票
600881.SH,9.8653%,7.3,2010-05-04,股票
IF.CFE,-72.0000%,3066.2,2010-05-04,期货
000027.SZ,1.5311%,10.41,2010-06-01,股票
000031.SZ,1.5838%,6.99,2010-06-01,股票
000046.SZ,1.0139%,8.77,2010-06-01,股票
000089.SZ,0.9501%,5.82,2010-06-01,股票
000631.SZ,0.3838%,6.7,2010-06-01,股票
000686.SZ,1.1334%,22,2010-06-01,股票
000690.SZ,1.6854%,5.93,2010-06-01,股票
000717.SZ,1.1104%,4.02,2010-06-01,股票
000729.SZ,2.6847%,20.5,2010-06-01,股票
000778.SZ,1.8714%,7.24,2010-06-01,股票
000897.SZ,1.5278%,4.69,2010-06-01,股票
000932.SZ,1.0765%,4.43,2010-06-01,股票
000959.SZ,1.0722%,3.75,2010-06-01,股票
002028.SZ,1.8670%,29.03,2010-06-01,股票
002242.SZ,0.6223%,11.5,2010-06-01,股票
002244.SZ,0.7006%,8.95,2010-06-01,股票
600004.SH,0.9169%,9.14,2010-06-01,股票
600010.SH,2.1766%,3.38,2010-06-01,股票
600011.SH,3.3580%,6.12,2010-06-01,股票
600017.SH,1.2430%,5.98,2010-06-01,股票
600018.SH,3.1839%,4.36,2010-06-01,股票
600022.SH,0.9299%,3.67,2010-06-01,股票
600027.SH,1.6277%,4.14,2010-06-01,股票
600109.SH,1.0547%,14.63,2010-06-01,股票
600176.SH,0.8545%,17,2010-06-01,股票
600208.SH,1.6560%,4.77,2010-06-01,股票
600236.SH,0.8166%,4.62,2010-06-01,股票
600246.SH,0.8407%,5.36,2010-06-01,股票
600266.SH,1.1063%,11.61,2010-06-01,股票
600282.SH,0.6471%,3.96,2010-06-01,股票
600307.SH,0.7835%,8.7,2010-06-01,股票
600316.SH,1.3484%,33.3,2010-06-01,股票
600369.SH,1.3334%,12.79,2010-06-01,股票
600376.SH,0.4654%,14.22,2010-06-01,股票
600426.SH,1.1841%,14.77,2010-06-01,股票
600500.SH,1.9029%,10.65,2010-06-01,股票
600569.SH,0.9412%,3.81,2010-06-01,股票
600600.SH,2.3923%,34.3,2010-06-01,股票
600638.SH,1.0717%,9.6,2010-06-01,股票
600642.SH,2.9629%,8.86,2010-06-01,股票
600649.SH,2.4554%,9,2010-06-01,股票
600657.SH,0.7417%,6.7,2010-06-01,股票
600674.SH,1.1033%,14.03,2010-06-01,股票
600694.SH,2.9449%,42.98,2010-06-01,股票
600717.SH,2.2113%,8.65,2010-06-01,股票
600748.SH,0.7572%,8.01,2010-06-01,股票
