证券代码,买卖数量,买卖日期,买卖价格,证券类型,买卖方向,说明
000027.SZ,2900,2900,13.49,股票,买入,
000156.SZ,300,300,49.05,股票,买入,
000937.SZ,2900,2900,8.76,股票,买入,
000963.SZ,800,800,62.1,股票,买入,
000983.SZ,5900,5900,8.36,股票,买入,
000999.SZ,1500,1500,26.84,股票,买入,
002001.SZ,1700,1700,17.21,股票,买入,
002292.SZ,600,600,44.22,股票,买入,
002294.SZ,600,600,44.8817,股票,买入,
002399.SZ,700,700,35.06,股票,买入,
002416.SZ,600,600,18.2906,股票,买入,
002422.SZ,1100,1100,40.1248,股票,买入,
002603.SZ,600,600,37.77,股票,买入,
002653.SZ,1100,1100,26.3545,股票,买入,
600023.SH,3600,3600,7.34,股票,买入,
600079.SH,1500,1500,35.6814,股票,买入,
600085.SH,2600,2600,26.13,股票,买入,
600188.SH,1400,1400,15.16,股票,买入,
600267.SH,1600,1600,20.99,股票,买入,
600276.SH,2900,2900,46.1128,股票,买入,
600348.SH,4000,4000,9.69,股票,买入,
600373.SH,1300,1300,19,股票,买入,
600395.SH,2000,2000,13.03,股票,买入,
600436.SH,300,300,116.49,股票,买入,
600535.SH,2300,2300,48,股票,买入,
600578.SH,5000,5000,6.5,股票,买入,
600655.SH,3200,3200,14.68,股票,买入,
600674.SH,4060,4060,22.5228,股票,买入,
601098.SH,1900,1900,22.5594,股票,买入,
601225.SH,6300,6300,8.12,股票,买入,
601699.SH,3400,3400,12.14,股票,买入,
601898.SH,6400,6400,6.9,股票,买入,
