证券代码,证券名称,证券公司,资金账号,账号名称,买卖标记,已撤数量,委托价格,成交数量,委托量,合同编号,委托状态,委托时间,成交均价,交易参数
204001,GC001,方正证券,20818443_00,证券被动投资01,回购,0,2.94,220000,220000,20958,已成,13:30:56,100,
600351,亚宝药业,方正证券,20818443_00,证券被动投资01,限价,0,12.06,9300,9300,9258,已成,10:10:30,12.06,
601689,拓普集团,方正证券,20818443_00,证券被动投资01,限价,0,23.98,1000,1000,2893,已成,9:34:43,23.99,
601126,四方股份,方正证券,20818443_00,证券被动投资01,限价,0,24.72,500,500,2584,已成,9:33:42,24.72,
600429,三元股份,方正证券,20818443_00,证券被动投资01,限价,0,10.11,1300,1300,2583,已成,9:33:42,10.11,
600010,包钢股份,方正证券,20818443_00,证券被动投资01,限价,0,5.96,2700,2700,2442,已成,9:33:13,5.96,
2118,紫鑫药业,方正证券,20818443_00,证券被动投资01,限价,0,17.79,1200,1200,2441,已成,9:33:13,17.79,
600456,宝钛股份,方正证券,20818443_00,证券被动投资01,限价,0,20.02,1000,1000,2440,已成,9:33:13,20.02,
601166,兴业银行,方正证券,20818443_00,证券被动投资01,限价,0,16.34,16100,16100,2436,已成,9:33:13,16.36,
2461,珠江啤酒,方正证券,20818443_00,证券被动投资01,限价,0,15.4,2500,2500,2435,已成,9:33:12,15.4,
600657,信达地产,方正证券,20818443_00,证券被动投资01,限价,0,7.95,3200,3200,2434,已成,9:33:12,7.95,
601318,中国平安,方正证券,20818443_00,证券被动投资01,限价,0,74.07,3100,3100,2433,已成,9:33:12,74.07,
601601,中国太保,方正证券,20818443_00,证券被动投资01,限价,0,31.6,1500,1500,2432,已成,9:33:12,31.6,
601777,力帆股份,方正证券,20818443_00,证券被动投资01,限价,0,11.52,2600,2600,2431,已成,9:33:12,11.52,
667,美好集团,方正证券,20818443_00,证券被动投资01,限价,0,4.63,6100,6100,2430,已成,9:33:12,4.64,
600549,厦门钨业,方正证券,20818443_00,证券被动投资01,限价,0,40.41,1000,1000,2429,已成,9:33:12,40.41,
601018,宁波港,方正证券,20818443_00,证券被动投资01,限价,0,5.87,8200,8200,2428,已成,9:33:12,5.87,
601126,四方股份,方正证券,20818443_00,证券被动投资01,限价,500,24.77,0,500,2185,已撤,9:32:15,0,
600429,三元股份,方正证券,20818443_00,证券被动投资01,限价,1300,10.14,0,1300,2182,已撤,9:32:14,0,
600010,包钢股份,方正证券,20818443_00,证券被动投资01,限价,2700,6.02,0,2700,2073,已撤,9:31:48,0,
600820,隧道股份,方正证券,20818443_00,证券被动投资01,限价,0,9.72,2400,2400,2072,已成,9:31:48,9.72,
861,海印股份,方正证券,20818443_00,证券被动投资01,限价,0,15.44,1000,1000,2070,已成,9:31:47,15.44,
600122,宏图高科,方正证券,20818443_00,证券被动投资01,限价,0,8.7,1900,1900,2069,已成,9:31:47,8.78,
2118,紫鑫药业,方正证券,20818443_00,证券被动投资01,限价,1200,17.89,200,1400,2068,部撤,9:31:47,17.89,
600839,四川长虹,方正证券,20818443_00,证券被动投资01,限价,0,6.21,600,600,2066,已成,9:31:47,6.21,
2194,武汉凡谷,方正证券,20818443_00,证券被动投资01,限价,0,14.6,1400,1400,2065,已成,9:31:47,14.6,
2505,大康牧业,方正证券,20818443_00,证券被动投资01,限价,0,10.08,500,500,2064,已成,9:31:47,10.08,
600456,宝钛股份,方正证券,20818443_00,证券被动投资01,限价,1000,20.15,0,1000,2063,已撤,9:31:47,0,
601166,兴业银行,方正证券,20818443_00,证券被动投资01,限价,16100,16.38,0,16100,2062,已撤,9:31:47,0,
697,炼石有色,方正证券,20818443_00,证券被动投资01,限价,0,27.35,800,800,2061,已成,9:31:47,27.35,
2461,珠江啤酒,方正证券,20818443_00,证券被动投资01,限价,2500,15.45,0,2500,2060,已撤,9:31:47,0,
898,鞍钢股份,方正证券,20818443_00,证券被动投资01,限价,0,6.02,38700,38700,2059,已成,9:31:46,6.02,
600811,东方集团,方正证券,20818443_00,证券被动投资01,限价,0,10.72,800,800,2058,已成,9:31:46,10.73,
600067,冠城大通,方正证券,20818443_00,证券被动投资01,限价,0,9.8,2900,2900,2057,已成,9:31:46,9.8,
601288,农业银行,方正证券,20818443_00,证券被动投资01,限价,0,3.56,63500,63500,2055,已成,9:31:46,3.57,
2424,贵州百灵,方正证券,20818443_00,证券被动投资01,限价,0,50.79,500,500,2054,已成,9:31:46,50.79,
600657,信达地产,方正证券,20818443_00,证券被动投资01,限价,3200,7.99,0,3200,2053,已撤,9:31:46,0,
686,东北证券,方正证券,20818443_00,证券被动投资01,限价,0,19.91,14100,14100,2051,已成,9:31:46,19.92,
88,盐 田 港,方正证券,20818443_00,证券被动投资01,限价,0,10.89,1900,1900,2050,已成,9:31:46,10.89,
600900,长江电力,方正证券,20818443_00,证券被动投资01,限价,0,10.73,2600,2600,2049,已成,9:31:45,10.74,
600015,华夏银行,方正证券,20818443_00,证券被动投资01,限价,0,12.37,19200,19200,2043,已成,9:31:45,12.38,
2311,海大集团,方正证券,20818443_00,证券被动投资01,限价,0,18.91,300,300,2042,已成,9:31:45,18.91,
