"","datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2"
"1","2005-01-04",3e+07,0,3e+07,0,0,3e+07,NA
"2","2005-01-05",29976110.73068,-0.000796308977333293,5698842.73068,24277268,-24119305.2,29506506.73068,NA
"3","2005-01-06",30000532.73068,0.000814715431878943,5927019.73068,24073513,-23891128.2,29770007.73068,NA
"4","2005-01-07",30124883.53068,0.00414495306187801,5907968.53068,24216915,-23910179.4,29753698.53068,NA
"5","2005-01-10",30092793.23068,-0.00106524229271532,5666888.23068,24425905,-24151259.7,29622108.23068,NA
"6","2005-01-11",30147268.43068,0.0018102407304772,5587767.43068,24559501,-24230380.5,29838526.43068,NA
"7","2005-01-12",30151349.53068,0.000135372131952138,5597171.53068,24554178,-24220976.4,29886147.53068,NA
"8","2005-01-13",30267942.83068,0.00386693470822475,5594036.83068,24673906,-24224111.1,29935254.83068,NA
"9","2005-01-14",30279910.13068,0.00039537870369788,5802312.13068,24477598,-24015835.8,30133972.13068,NA
"10","2005-01-17",30325046.33068,0.0014906319009933,6309064.33068,24015982,-23509083.6,30081528.33068,NA
"11","2005-01-18",30317350.23068,-0.000253786916467602,6133205.23068,24184145,-23684942.7,29814533.23068,NA
"12","2005-01-19",30393484.93068,0.00251125838573296,6314944.93067999,24078540,-23503203,30138405.93068,NA
"13","2005-01-20",30339201.43068,-0.00178602421287999,6581394.43068,23757807,-23236753.5,29983376.43068,NA
"14","2005-01-21",30206252.73068,-0.00438207644666466,5940870.73068,24265382,-23877277.2,29205836.73068,NA
"15","2005-01-24",30225011.03068,0.000621007185739098,5563516.03068,24661495,-24254631.9,29810411.03068,NA
"16","2005-01-25",30188371.43068,-0.00121222784543606,5572215.43068,24616156,-24245932.5,29721426.43068,NA
"17","2005-01-26",30247414.53068,0.00195582262976912,5762897.53068,24484517,-24055250.4,29997091.53068,NA
"18","2005-01-27",30222815.63068,-0.000813256285923103,6134614.63068,24088201,-23683533.3,30056668.63068,NA
"19","2005-01-28",30123199.23068,-0.00329606616462541,6266369.23068,23856830,-23551778.7,29858351.23068,NA
"20","2005-01-31",29949207.23068,-0.00577601332008582,6614588.23068,23334619,-23203559.7,29696872.23068,NA
"21","2005-02-01",29881877.63068,-0.002248126285327,6588538.63068,23293339,-23229609.3,29571885.63068,-0.0031436066155025
"22","2005-02-02",29782576.46421,-0.00332312338927609,4601246.46421,25181330,-25072133.7,28397745.46421,NA
"23","2005-02-03",29711111.66421,-0.00239955062604746,4942326.66421,24768785,-24731053.5,29493926.66421,NA
"24","2005-02-04",29588543.96421,-0.00412531518124393,4353615.96421,25234928,-25319764.2,28833792.96421,NA
"25","2005-02-16",29661971.56421,0.00248162262018758,4186138.56421,25475833,-25487241.6,29366129.56421,NA
"26","2005-02-17",29826546.76421,0.00554835674505783,4260290.76421,25566256,-25413089.4,29390932.76421,NA
"27","2005-02-18",29867411.66421,0.00137008485504708,4622610.66421,25244801,-25050769.5,29744171.66421,NA
"28","2005-02-21",29819399.46421,-0.00160751124134184,4135118.46421,25684281,-25538261.7,29260652.46421,NA
"29","2005-02-22",29904622.56421,0.00285797506090923,3609454.56421,26295168,-26063925.6,29166391.56421,NA
"30","2005-02-23",30075651.56421,0.00571914925970951,3679174.56421,26396477,-25994205.6,29609842.56421,NA
"31","2005-02-24",30165230.16421,0.00297844253876756,3641426.16421,26523804,-26031954,29635876.16421,NA
"32","2005-02-25",30098025.26421,-0.00222789283006131,3609031.26421,26488994,-26064348.9,29896522.26421,NA
"33","2005-02-28",30077117.06421,-0.000694670159137156,3777654.06421,26299463,-25895726.1,29802726.06421,NA
"34","2005-03-01",30148983.56421,0.00238940786268094,3878623.56421,26270360,-25794756.6,29863685.56421,0.0123027334602939
"35","2005-03-02",30010826.87488,-0.00458246590754063,6260746.87488,23750080,-23592492,29851357.87488,NA
"36","2005-03-03",30032941.87488,0.000736900722269285,6113137.87488,23919804,-23740101,29576643.87488,NA
"37","2005-03-04",29935917.17488,-0.00323060925580376,6206531.17488,23729386,-23646707.7,29728318.17488,NA
"38","2005-03-07",29870689.77488,-0.00217890100440055,6063218.77488,23807471,-23790020.1,29603763.77488,NA
"39","2005-03-08",29858601.17488,-0.000404697718435987,5621639.17488,24236962,-24231599.7,29300907.17488,NA
"40","2005-03-09",29936468.47488,0.00260786831720394,5678072.47488,24258396,-24175166.4,29648186.47488,NA
"41","2005-03-10",29815562.57488,-0.00403874959738326,6235498.57488,23580064,-23617740.3,29638407.57488,NA
"42","2005-03-11",29827277.97488,0.000392929027268174,6119628.97488,23707649,-23733609.9,29399257.97488,NA
"43","2005-03-14",29774839.27488,-0.00175807863004318,6036538.27488,23738301,-23816700.6,29235975.27488,NA
"44","2005-03-15",29833350.57488,0.00196512563711337,6440857.57488,23392493,-23412381.3,29645187.57488,NA
"45","2005-03-16",29733889.37488,-0.00333389304531362,6682437.37488,23051452,-23170801.5,29458592.37488,NA
"46","2005-03-17",29508229.57488,-0.00758931322959211,6918103.57488,22590126,-22935135.3,29329398.57488,NA
"47","2005-03-18",29351959.37488,-0.00529581754823494,7246077.37488,22105882,-22607161.5,29110831.37488,NA
"48","2005-03-21",29247791.57488,-0.0035489215104717,7171510.57488,22076281,-22681728.3,28831030.57488,NA
"49","2005-03-22",29032979.47488,-0.00734455794551303,7584284.47488,21448695,-22268954.4,28705032.47488,NA
"50","2005-03-23",29200549.87488,0.00577172591414477,7700107.87488,21500442,-22153131,28810018.87488,NA
"51","2005-03-24",29282147.77488,0.00279439600793929,7566335.77488,21715812,-22286903.1,28730754.77488,NA
"52","2005-03-25",29307176.37488,0.000854739214910749,7608978.37488,21698198,-22244260.5,29041263.37488,NA
"53","2005-03-28",29172847.27488,-0.00458348829930744,7661161.27488,21511686,-22192077.6,28730128.27488,NA
"54","2005-03-29",29163453.87488,-0.000321991196522209,7788349.87488,21375104,-22064889,28962608.87488,NA
"55","2005-03-30",29158359.47488,-0.000174684384842139,8207753.47488,20950606,-21645485.4,28803310.47488,NA
"56","2005-03-31",29181682.57488,0.000799876962217283,8088349.57488,21093333,-21764889.3,28550697.57488,NA
"57","2005-04-01",29039279.37488,-0.00487988311279164,7258089.37488,21781190,-22595149.5,27969857.37488,-0.032373233301786
"58","2005-04-04",29034299.92808,-0.000171472808802142,6064687.92808,22969612,-22514731.2,28625730.92808,NA
"59","2005-04-05",28887523.92808,-0.00505526223685693,6218425.92808,22669098,-22360993.2,28746565.92808,NA
"60","2005-04-06",28987932.92808,0.00347586038353387,5795587.92808,23192345,-22783831.2,28199206.92808,NA
"61","2005-04-07",29098793.92808,0.003824384452491,5536666.92808,23562127,-23042752.2,28599497.92808,NA
"62","2005-04-08",29246463.12808,0.00507475328238582,5098806.12808,24147657,-23480613,28424401.12808,NA
"63","2005-04-11",29302047.72808,0.00190055801812949,5286567.72808,24015480,-23292851.4,29001595.72808,NA
"64","2005-04-12",29165815.32808,-0.00464924503789677,5677909.32808,23487906,-22901509.8,29035004.32808,NA
"65","2005-04-13",29295457.12808,0.0044449914580369,5158359.12808,24137098,-23421060,28739291.12808,NA
"66","2005-04-14",29153367.12808,-0.00485024006892198,5484204.12808,23669163,-23095215,29010292.12808,NA
"67","2005-04-15",28980800.32808,-0.00591927509580137,5785900.32808,23194900,-22793518.8,28699560.32808,NA
"68","2005-04-18",28999426.32808,0.000642701367427279,6027154.32808,22972272,-22552264.8,28624318.32808,NA
"69","2005-04-19",28893534.72808,-0.00365150671609871,5977686.72808,22915848,-22601732.4,28564526.72808,NA
"70","2005-04-20",28585879.32808,-0.0106478976316114,6329131.32808,22256748,-22250287.8,28323751.32808,NA
"71","2005-04-21",28489859.72808,-0.00335898710331695,6490263.72808,21999596,-22089155.4,28133404.72808,NA
"72","2005-04-22",28372367.72808,-0.00412399362865934,6604455.72808,21767912,-21974963.4,27964100.72808,NA
"73","2005-04-25",28246539.12808,-0.00443489951934739,6815781.12808,21430758,-21763638,27741693.12808,NA
