"","datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2"
"1","2010-05-04",3e+07,0,3e+07,0,0,3e+07,NA
"2","2010-05-05",30354034.23885,0.0118011412949999,5962203.23885,24391831,-23073000,29252714.23885,NA
"3","2010-05-06",30244646.23885,-0.00360373844014428,6779703.23885,23464943,-22255500,30152726.23885,NA
"4","2010-05-07",30529619.23885,0.00942226262954082,7303203.23885,23226416,-21732000,29888081.23885,NA
"5","2010-05-10",30270520.23885,-0.00848680744993657,7150203.23885,23120317,-21885000,29598800.23885,NA
"6","2010-05-11",30459569.23885,0.00624531717685417,8023203.23885,22436366,-21012000,30303408.23885,NA
"7","2010-05-12",29785193.23885,-0.0221400373298734,7763703.23885,22021490,-21271500,29254918.23885,NA
"8","2010-05-13",29965643.23885,0.00605837936161624,7325703.23885,22639940,-21709500,29007660.23885,NA
"9","2010-05-14",30149679.23885,0.00614156681146771,7412703.23885,22736976,-21622500,29689219.23885,NA
"10","2010-05-17",30143324.03885,-0.000210788312195787,8682785.03884999,21460539,-21234720,30009839.03885,NA
"11","2010-05-18",29627418.03885,-0.0171150998255892,7996385.03884999,21631033,-21921120,28872690.03885,NA
"12","2010-05-19",29851170.03885,0.00755219370471649,8196065.03885,21655105,-21721440,29365596.03885,NA
"13","2010-05-20",29754156.03885,-0.00324992286311532,8364545.03885,21389611,-21552960,29521224.03885,NA
"14","2010-05-21",30214739.03885,0.0154796190286364,8469065.03885,21745674,-21448440,29130301.03885,NA
"15","2010-05-24",30287213.03885,0.00239863067845181,7681265.03885,22605948,-22635600,29523845.03885,NA
"16","2010-05-25",30703690.03885,0.013750918563084,8373905.03885,22329785,-21942960,30427790.03885,NA
"17","2010-05-26",30401943.03885,-0.00982771124963122,8167985.03885,22233958,-22148880,30128427.03885,NA
"18","2010-05-27",30152909.03885,-0.00819138433625022,7685945.03884999,22466964,-22630920,29517911.03885,NA
"19","2010-05-28",30582876.03885,0.0142595528493128,7968305.03885,22614571,-22348560,30231155.03885,NA
"20","2010-05-31",30589865.03885,0.000228526577785715,8539265.03885,22050600,-21777600,30456561.03885,NA
"21","2010-06-01",30434075.03885,-0.00509286326703773,8773265.03885,21660810,-21543600,29981328.03885,0.0026369081411115
