"","datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2"
"1","2010-05-04",3e+07,0,3e+07,0,0,3e+07,NA
"2","2010-05-05",30375030.03885,0.012501001295,5983199.03885,24391831,-23073000,29273710.03885,NA
"3","2010-05-06",30265642.03885,-0.00360124746741297,6800699.03885,23464943,-22255500,30173722.03885,NA
"4","2010-05-07",30550615.03885,0.00941572624278719,7324199.03885,23226416,-21732000,29909077.03885,NA
"5","2010-05-10",30291516.03885,-0.00848097492212563,7171199.03885,23120317,-21885000,29619796.03885,NA
"6","2010-05-11",30480565.03885,0.00624098839284026,8044199.03885,22436366,-21012000,30324404.03885,NA
"7","2010-05-12",29806189.03885,-0.0221247867006551,7784699.03885,22021490,-21271500,29275914.03885,NA
"8","2010-05-13",29986639.03885,0.00605411177406134,7346699.03885,22639940,-21709500,29028656.03885,NA
"9","2010-05-14",30170675.03885,0.00613726665938019,7433699.03885,22736976,-21622500,29710215.03885,NA
"10","2010-05-17",30188043.29885,0.000575666934121699,8727504.29885,21460539,-21234720,30054558.29885,NA
"11","2010-05-18",29672137.29885,-0.0170897462579052,8041104.29885,21631033,-21921120,28917409.29885,NA
"12","2010-05-19",29895889.29885,0.00754081169638821,8240784.29885,21655105,-21721440,29410315.29885,NA
"13","2010-05-20",29798875.29885,-0.00324506152100756,8409264.29885,21389611,-21552960,29565943.29885,NA
"14","2010-05-21",30259458.29885,0.0154563887187305,8513784.29885,21745674,-21448440,29175020.29885,NA
"15","2010-05-24",30331932.29885,0.00239508583677295,7725984.29885,22605948,-22635600,29568564.29885,NA
"16","2010-05-25",30748409.29885,0.013730645179364,8418624.29885,22329785,-21942960,30472509.29885,NA
"17","2010-05-26",30446662.29885,-0.00981341821839488,8212704.29885,22233958,-22148880,30173146.29885,NA
"18","2010-05-27",30197628.29885,-0.00817935304551964,7730664.29885,22466964,-22630920,29562630.29885,NA
"19","2010-05-28",30627595.29885,0.0142384360700398,8013024.29885,22614571,-22348560,30275874.29885,NA
"20","2010-05-31",30634584.29885,0.000228192906815083,8583984.29885,22050600,-21777600,30501280.29885,NA
"21","2010-06-01",30478794.29885,-0.00508542888913455,8817984.29885,21660810,-21543600,30026047.29885,0.00341610394680392
"22","2010-06-02",30578211.7335,0.00326185588823469,5942717.7335,24635494,-24154680,29910542.7335,NA
"23","2010-06-03",30608233.7335,0.000981810194188304,6189797.7335,24418436,-23907600,30462923.7335,NA
"24","2010-06-04",30610381.7335,7.01771954141339e-05,6076697.7335,24533684,-24020700,30089661.7335,NA
"25","2010-06-07",30768058.7335,0.00515109551304427,6553457.7335,24214601,-23543940,30350038.7335,NA
"26","2010-06-08",30738803.7335,-0.000950823717979721,6395117.7335,24343686,-23702280,30363260.7335,NA
"27","2010-06-09",30818324.7335,0.00258699071991964,5834837.7335,24983487,-24262560,30001430.7335,NA
"28","2010-06-10",30813035.7335,-0.000171618673167062,6001877.7335,24811158,-24095520,30614553.7335,NA
"29","2010-06-11",30738149.7335,-0.00243033502598333,5815697.7335,24922452,-24281700,30452742.7335,NA
"30","2010-06-17",31070785.9535,0.0108216084209352,6319258.95350001,24751527,-24034620,30973066.9535,NA
"31","2010-06-18",30881908.9535,-0.00607892572407642,6717718.9535,24164190,-23636160,30692839.9535,NA
"32","2010-06-21",30832512.9535,-0.00159951251959145,5964298.9535,24868214,-24401760,29870532.9535,NA
"33","2010-06-22",30943592.9535,0.00360269045106798,6026938.9535,24916654,-24339120,30651362.9535,NA
"34","2010-06-23",31053686.9535,0.00355789323384159,6308818.9535,24744868,-24057240,30720614.9535,NA
"35","2010-06-24",30962235.9535,-0.00294493211504787,6258358.9535,24703877,-24107700,30680999.9535,NA
"36","2010-06-25",30832549.9535,-0.0041885217913451,6407998.9535,24424551,-23958060,30573193.9535,NA
"37","2010-06-28",30734572.9535,-0.00317771316831594,6514138.9535,24220434,-23851920,30514161.9535,NA
"38","2010-06-29",30817767.9535,0.00270688648011697,7742578.9535,23075189,-22623480,30614071.9535,NA
"39","2010-06-30",30660244.9535,-0.00511143442437756,7928758.9535,22731486,-22437300,30266272.9535,NA
"40","2010-07-01",30682990.9535,0.000741872742194394,8222818.9535,22460172,-22143240,30481665.9535,0.0034265973730967
"41","2010-07-02",30671937.59275,-0.00036024391385947,6038729.59275,24633208,-24441600,29626734.59275,NA
"42","2010-07-05",30603730.59275,-0.00222375908902872,6186569.59275,24417161,-24293760,29970660.59275,NA
"43","2010-07-06",30809846.59275,0.00673499589781468,5860169.59275,24949677,-24620160,30057205.59275,NA
"44","2010-07-07",30967646.59275,0.00512173923115644,5823689.59275,25143957,-24656640,30499646.59275,NA
"45","2010-07-08",30902727.59275,-0.00209634916252233,5817929.59275,25084798,-24662400,30704649.59275,NA
"46","2010-07-09",31029563.59275,0.00410436262039715,5040329.59275,25989234,-25440000,29884591.59275,NA
