证券代码,证券名称,目标数量,目标权重
000402.SZ,证券,0,0.053382083
000792.SZ,证券,0,0.036884388
000937.SZ,证券,0,0.01336192
000960.SZ,证券,0,0.036500479
000983.SZ,证券,0,0.026290433
002146.SZ,证券,0,0.024714733
002470.SZ,证券,0,0.019170082
002475.SZ,证券,0,0.020723532
600038.SH,证券,0,0.025179215
600058.SH,证券,0,0.018832295
600143.SH,证券,0,0.027488586
600153.SH,证券,0,0.043307862
600188.SH,证券,0,0.011750803
600309.SH,证券,0,0.055601136
600315.SH,证券,0,0.049079109
600340.SH,证券,0,0.047714919
600348.SH,证券,0,0.021223783
600372.SH,证券,0,0.027631777
600383.SH,证券,0,0.098189238
600395.SH,证券,0,0.013561266
600549.SH,证券,0,0.029792585
600648.SH,证券,0,0.021054846
600663.SH,证券,0,0.031720922
600893.SH,证券,0,0.04079892
601225.SH,证券,0,0.028115491
601231.SH,证券,0,0.007532721
601258.SH,证券,0,0.022302784
601333.SH,证券,0,0.033805462
601699.SH,证券,0,0.021344478
601888.SH,证券,0,0.041430612
601898.SH,证券,0,0.023401616
601958.SH,证券,0,0.021073159
603993.SH,证券,0,0.007038766
