"","trade_code","weight","open","amt","datetime"
"1","000401.SZ",0.0741130680342845,14.8,140567857.4,"2010-05-05"
"2","000822.SZ",0.0271948094135606,7.25,57610717.8,"2010-05-05"
"3","000876.SZ",0.0271948094135606,10.87,61224081.8,"2010-05-05"
"4","000927.SZ",0.0210199001325197,7.38,81035122.5,"2010-05-05"
"5","000951.SZ",0.0262280663250451,22.97,209387683.3,"2010-05-05"
"6","002007.SZ",0.0917824817707671,73.11,198971984.2,"2010-05-05"
"7","002122.SZ",0.0271948094135606,11.54,168212532.8,"2010-05-05"
"8","600006.SH",0.0354807322736032,5.85,62717553,"2010-05-05"
"9","600066.SH",0.046599950058811,18.38,178982307,"2010-05-05"
"10","600108.SH",0.0509902676504261,5.3,141791416,"2010-05-05"
"11","600418.SH",0.047437612398165,8.04,140082538,"2010-05-05"
"12","600516.SH",0.0339935117669508,7.51,43358675,"2010-05-05"
"13","600517.SH",0.044191565297036,16.5,122949356,"2010-05-05"
"14","600597.SH",0.0283472828902177,9.8,105224779,"2010-05-05"
"15","600737.SH",0.0543896188271212,15.19,436946350,"2010-05-05"
"16","600811.SH",0.0645876723572064,6.85,92290534,"2010-05-05"
"17","600881.SH",0.0992538419771644,7.28,78629454,"2010-05-05"
"18","IF.CFE",-0.72,3046.4,30,"2010-05-05"
"19","000027.SZ",0.0153107150702147,10.17,40170021.3,"2010-06-02"
"20","000031.SZ",0.0158377066975209,6.8,44402577.5,"2010-06-02"
"21","000046.SZ",0.0101385897956118,8.7,41891598,"2010-06-02"
"22","000089.SZ",0.00950084671553229,5.75,26836286.8,"2010-06-02"
"23","000631.SZ",0.00383773620800613,6.55,13096707.3,"2010-06-02"
"24","000686.SZ",0.0113343832976144,21.8,110900887.7,"2010-06-02"
"25","000690.SZ",0.0168538719649801,5.86,51847818.3,"2010-06-02"
"26","000717.SZ",0.0111038079371134,4,30282697.9,"2010-06-02"
"27","000729.SZ",0.026847083346322,20.8,112392025.9,"2010-06-02"
"28","000778.SZ",0.0187141594582463,7.08,41503272.6,"2010-06-02"
"29","000897.SZ",0.0152783375938543,4.57,40205756.3,"2010-06-02"
"30","000932.SZ",0.0107650966877679,4.35,28044008.8,"2010-06-02"
"31","000959.SZ",0.0107217669725163,3.72,26868322.5,"2010-06-02"
"32","002028.SZ",0.0186700445201758,29.64,163283086.6,"2010-06-02"
"33","002242.SZ",0.00622334817339195,11.3,26285903.1,"2010-06-02"
"34","002244.SZ",0.00700575058816006,8.8,51568734,"2010-06-02"
"35","600004.SH",0.00916919780464356,9,42915223,"2010-06-02"
"36","600010.SH",0.0217658438183668,3.34,27272518,"2010-06-02"
"37","600011.SH",0.0335795824553982,6.15,22727448,"2010-06-02"
"38","600017.SH",0.012430435586428,5.87,24088290,"2010-06-02"
"39","600018.SH",0.0318389962924562,4.4,38275176,"2010-06-02"
"40","600022.SH",0.00929873093631126,3.64,21363243,"2010-06-02"
"41","600027.SH",0.0162766901398338,4.12,13595111,"2010-06-02"
"42","600109.SH",0.0105469433750267,14.28,43852224,"2010-06-02"
"43","600176.SH",0.00854503788735643,16.72,30485291,"2010-06-02"
"44","600208.SH",0.0165604907981214,4.63,44764042,"2010-06-02"
"45","600236.SH",0.0081657977904321,4.58,13363968,"2010-06-02"
"46","600246.SH",0.00840698732614796,5.45,37399997,"2010-06-02"
"47","600266.SH",0.0110632696038726,11.48,62395890,"2010-06-02"
"48","600282.SH",0.00647127947192673,3.91,10803675,"2010-06-02"
"49","600307.SH",0.00783511812149232,8.76,40042801,"2010-06-02"
"50","600316.SH",0.0134839210423492,32.68,46052829,"2010-06-02"
"51","600369.SH",0.0133335736415578,12.8,60215056,"2010-06-02"
"52","600376.SH",0.00465368971388438,14.2,167222508,"2010-06-02"
"53","600426.SH",0.0118409564061499,14.79,112083917,"2010-06-02"
"54","600500.SH",0.019028544137976,10.75,46761959,"2010-06-02"
"55","600569.SH",0.00941181232966014,3.75,14057699,"2010-06-02"
"56","600600.SH",0.0239234939055742,34.94,63937995,"2010-06-02"
"57","600638.SH",0.0107171058329618,9.36,77752202,"2010-06-02"
"58","600642.SH",0.0296294557874573,8.5,69823666,"2010-06-02"
"59","600649.SH",0.0245542460148774,8.95,53906686,"2010-06-02"
"60","600657.SH",0.00741739486165017,6.67,109219155,"2010-06-02"
"61","600674.SH",0.0110333467630259,13.11,58833529,"2010-06-02"
"62","600694.SH",0.0294488185266175,43.3,45025324,"2010-06-02"
"63","600717.SH",0.0221129486372966,8.59,38798177,"2010-06-02"
"64","600748.SH",0.00757196343648658,7.91,81555222,"2010-06-02"
"65","600779.SH",0.0156577891177357,19.35,49615960,"2010-06-02"
"66","600782.SH",0.00507618178282833,5.54,45560811,"2010-06-02"
"67","600808.SH",0.0184892894294362,3.42,46187964,"2010-06-02"
"68","600809.SH",0.013437935188898,40.12,68173268,"2010-06-02"
"69","600859.SH",0.0193007421649527,34.02,26033279,"2010-06-02"
"70","600886.SH",0.0106248762740208,7.48,20690429,"2010-06-02"
"71","601099.SH",0.0083485368995447,11.91,31621877,"2010-06-02"
"72","601333.SH",0.0248933926935678,3.7,42474856,"2010-06-02"
